Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department
DOE-0043-2023,DOE,National Energy Technology Laboratory,,Demonstrate the robust performance of our ML method in a commercial-scale synthetic data and integrate image-to-image mapping with convolutional neural networks,"Our method quickly incorporates streaming observations for accurate 
and timely forecasts with uncertainty quantification, taking reservoir 
simulation data as inputs and incorporating real-time observation 
streams for accurate, timely geological carbon storage forecasts.
Computation effort is distributed over many machines, facilitates 
coupled inversions using many ML models, and allows for ML-Driven 
optimization and sensitivity analysis",,"Neural Networks, Other",,Department of Energy
DOE-0044-2023,DOE,National Energy Technology Laboratory,,Develop and demonstrate reinforcement learning approach for time-varying control for flexible hydrogen and power production.,"Efforts on IES control will include the development of a dynamic 
optimization-based nonlinear model predictive control (NMPC) 
framework. NMPC approaches for optimizing cell thermal management 
and maximizing IES efficiency under set-point transition will be 
developed for flexible operation. Reinforcement learning (RL) 
approaches will also be developed for optimal control policy selection 
and learning-based adaptive control. There are opportunities for 
improved learning through interaction with the electrolyzer in addition to 
learning from the MPC action. Multi-policy approaches will be developed 
for control, independently by RL or in concert with MPC, or even for 
scheduling the operating policy.  The ultimate goal is to develop 
operational strategies and an NMPC and RL control framework for 
optimizing IES performance under flexible hydrogen and power 
production scenarios, while minimizing physical and chemical 
degradation over long-term operation.",,Other,,Department of Energy
DOE-0045-2023,DOE,National Energy Technology Laboratory,,Develop fast predictive models using novel machine-learning based methods.,"Accurate, fast predictive ML models form the foundation for the virtual 
learning platform. Generating training data then developing ML based 
models enables a Virtual Learning Environment (VLE) for exploring and 
testing strategies to optimize reservoir development, management & 
monitoring prior to field activities.",,Other,,Department of Energy
DOE-0046-2023,DOE,National Energy Technology Laboratory,,"Develop, integrate, and automate the reduction of CFD models while preserving acceptable levels of accuracy. In general for CCSI2, this work intends to focuse on CFD applications.","Will leverage state-of-the-art, physics-based deep learning (DL) models 
to learn generalizable surrogates that may be used in place of CFD 
models to predict quantities required for downstream optimization. The 
products from this subtask can be immediately leveraged by other 
subtasks that are seeking to speed up their CFD simulation models to 
streamline their downstream analyses. Addtionally, improvements to the 
ML/AI interface in FOQUS. Includes support for vector variables in the 
ML/AI plugin and support for additional surrogate model tools (e.g., 
PyTorch, Sci-kit Learn) and additional normalization function forms in 
the ML/AI plugin.",,"Neural Networks, Other",,Department of Energy
DOE-0047-2023,DOE,National Energy Technology Laboratory,,Development of AI/ML methods,"Develop quality, reliability, and version control standards for SMART 
software. Continue development of AI/ML methods for use by the 2A 
and 2C activities, including Modeling anomalies due to local 
heterogeneity coupled with an enhanced capacitance-resistance model 
(CRM) and Bayesian Belief Network (BBN) modeling integrated with 
geochemistry. Continue development of advanced computational 
approaches with modeling using the most advanced general purpose 
PDE/ODE physics-informed neural network (PINN) tool developed by 
NVIDIA and accelerate training PINNs using Wafer Scale Engine (WSE) 
by Cerebras Systems Inc.",,Other,,Department of Energy
DOE-0048-2023,DOE,National Energy Technology Laboratory,,"Development of new machine learning-based process modeling capabilities that assess the viability and efficiency, with uncertainty quantification, of the chemical processes involved in the carbon fiber production and its output quality","Provide sub-pilot-scale verification of lab-scale developments on the 
production of isotropic and mesophase coal-tar pitch (CTP) for carbon 
fiber production, using coals from several U.S. coal-producing regions. 
An extensive database and suite of tools for data analysis and economic 
modeling, with an associated web-based community portal, will be 
developed to relate process conditions to product quality, and to assess 
the economic viability of coals from different regions for producing 
specific high-value products.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0049-2023,DOE,National Energy Technology Laboratory,,DOE AI Data Infrastructure System,"Leveraging generative AI and cloud enabled data infrastructure to 
improve CCS user experience and connectivity producing an adaptive 
user interface that streamlines connection of CCS stakeholders to what 
matters to them.",,"Artificial Intelligence, Big Data, Other",,Department of Energy
DOE-0050-2023,DOE,National Energy Technology Laboratory,,Fluid migration from well-to-well communication will be inputted in AI to determine a costs-benefit analysis,"This project will develop an ML algorithm to predict the time when a 
growing fracture will reach the monitored well. The ML workflow will be 
trained on the distinctive tensile strain signature that precedes the 
growing fracture. The new workflow will be designed to work in 
conjunction with the fracture warning ML workflow developed in EY21. 
Together, these workflows will: (1) provide an early warning of well-to-
well communication, (2) predict the measured depths where the 
communication will happen, and (3) provide an estimated time until the 
beginning of well-to-well communication.",,"Artificial Intelligence, Big Data, Other",,Department of Energy
DOE-0051-2023,DOE,National Energy Technology Laboratory,,Geochemically Informed Leak Detection (GILD),"A Bayesian Belief Network has been developed to interogate the altered 
geochemistry around a potential CO2 leakage site. The use of the BNN 
and site specific parameters will reduce the percentage of false 
positives with this method.",,"Artificial Intelligence, Other",,Department of Energy
DOE-0052-2023,DOE,National Energy Technology Laboratory,,"Initial case study using regulatory compliance (well integrity testing, fluid compositionali data, geographic, and geologic information from oil and gas wells in the Wattenberg Field, Denver Basin, central Colorado, USA","Researchers will apply artificial intelligence/machine learning (AI/ML) 
techniques to national-scale well characterization and integrity test 
datasets to yield new insights into leakage potential.",,Other,,Department of Energy
DOE-0053-2023,DOE,National Energy Technology Laboratory,,Machine learning based identification of current hazardous offshore metocean and bathymetric conditions that can impact safe offshore energy operations,"Build off user testing and further refine analytical logic to develop 
Version 2 of the OGA smart tool for release on EDX. Continue 
refinements to offshore hazard models, including wave and turbidity 
current models. Draft manuscripts detailing the OGA Tool models and 
algorithms. Assemble a metocean and seafloor database for release 
with the OGA Tool Version 2 online; strategize web-hosted versions of 
the OGA Tool and database.",,"Big Data, Neural Networks, Other",,Department of Energy
DOE-0054-2023,DOE,National Energy Technology Laboratory,,Machine Learning for geophysical data inversion,"Use machine learning to generate synthetic seismic and gravity data, 
and data driven inversion for leak detection",,Other,,Department of Energy
DOE-0055-2023,DOE,National Energy Technology Laboratory,,Machine learning for legacy well evaluation,"Use machine learning to identify common attributes that correlated to 
well integrity issues to prioritize for monitoring and remediation.",,Other,,Department of Energy
DOE-0056-2023,DOE,National Energy Technology Laboratory,,Machine learning to process multi- model data and information to aid in the identification of undocumented orphaned wells,"Use of machine learning to process and analyze trends and patterns in 
known well data to predict undocuemnted orphaned wells, as well as 
machine learning approached to process different imagery based data 
to further classify and characterize additional undocuemented orphaned 
wells within the Appalachain Basin",,"Big Data, Other",,Department of Energy
DOE-0057-2023,DOE,National Energy Technology Laboratory,,Machine learning to refine and analyze data for CCS needs,"Utilze and apply different machine learning approaches to process data 
and generate new derivative data products that help address CCS 
stakeholder data-needs for resource evaluation, risk assessment, 
supply chain, social and environmental justice evaluations, regulatory 
compliance, and more.",,"Big Data, Other",,Department of Energy
DOE-0058-2023,DOE,National Energy Technology Laboratory,,Machine learning to tool and model applications for CCS needs,"Utilze and apply different machine learning approaches to help model 
and analyze Class VI well regulatation data, CCS infrastructure 
optimization, CCS data visualization, and interaction with “really big” 
(petabyte-scale) datasets used for CCS resource characterization and 
risk reduction (e.g., reflection seismic surveys) within the EDX multi-
cloud ecosystem.",,"Big Data, Other",,Department of Energy
DOE-0059-2023,DOE,National Energy Technology Laboratory,,ML-based approaches to improve site characterization efforts,"Demonstrate application of ML-based approaches to improve site-
characterization efforts performed during the pre-injection phase using 
data from either IBDP (for which data are currently available) or other 
opportunistic field demonstration or commercial projects (for which data 
may become available) and develop value of information guidelines. 
Demonstrate how ML-based rapid forecasting can be used to help with 
pre-injection reservoir management decisions under data uncertainties. 
Demonstrate how a visualization platform with ML-based models can",,Other,,Department of Energy
DOE-0060-2023,DOE,National Energy Technology Laboratory,,ML-based proxy models and multi- level data driven fracture network imaging to support rapid decision making.,"ML-based proxy-models of fracture network, HF geometry, HF 
properties, bottomhole pressure and drainage volume contribute to 
fracture network, production forecast and well drainage volume 
visualizations.",,Other,,Department of Energy
DOE-0061-2023,DOE,National Energy Technology Laboratory,,"ML-based reduced order models of reservoir response to Co2 injection into saline and/or hydrocarbon- bearing formations - as the basis for integrated assessment modeling of leakage risk (e.g., SACROC)","Generally, the approach used by NRAP researchers to address these 
questions is to develop a robust, science-based integrated assessment 
framework that links fast forecasting models of CO2 storage system 
components (e.g., storage reservoir; leakage pathways including wells, 
faults, and fractured caprock; intermediate formations; and receptors of 
concern, including groundwater aquifers and the atmosphere). 
Superimposed on this system model are various fit-for-purpose 
analytical capabilities that support analyses in support of stakeholder 
decision making for questions related to site-specific risk evolution, risk-
based area of review delineation, conformance assessment, and post-
injection site monitoring
In Task 2.0, researchers will augment and expand this functionality to 
demonstrate relevance to industry-standard site risk management 
methods (i.e., bowtie analysis framework) and to understand 
containment performance and leakage risk for scenarios where a site 
transitions from CO2 utilization for EOR to dedicated CO2 storage. To 
ensure that risk assessment efforts are informative to real geologic 
storage deployment scenarios, NRAP researchers will engage with a 
diverse set of stakeholders to establish an appropriate modeling and 
risk assessment design basis.",,Other,,Department of Energy
DOE-0062-2023,DOE,National Energy Technology Laboratory,,Natural Language Processing,"Information and articles on energy storage will be gathered and 
reviewed. Developed natural language processing (NLP) algorithms will 
be used to help categorize and understand various energy storage 
efforts in the R&D communities. Additionally, trends within the 
discovered and selected topical focus areas in energy storage will be 
examined. This will provide a view of energy storage R&D, which is not 
biased or limited to known search terms.",,"Big Data, Natural Language Processing, Other",,Department of Energy
DOE-0063-2023,DOE,National Energy Technology Laboratory,,Neural networks used to compensate a drone-mounted magnetic sensor for maneuvering of the drone.,"Electromagnetic technology development and optimization for cased 
wells. Scalable solutions—getting to 100,000 wells/year through drone 
technology and ML technology. NETL will develop ML algorithms to 
compensate magnetic data for the maneuvering of drone aircraft. 
Magnetic noise can limit sensitivity of detection and resolution of 
anomalies in the magnetic data. The ML algorithms will reduce attitude- 
and heading-induced noise in drone magnetic surveys.",,"Neural Networks, Other",,Department of Energy
DOE-0064-2023,DOE,National Energy Technology Laboratory,,Online real time system Identification,"Work will focus on using SI to monitor the condition of a power plant 
boiler at different process states. SI algorithms will be implemented 
within an MPC to provide continuous adaptability as the power plant 
ramps through the entire range of operating loads. Once the control 
algorithm has been developed to be effective on representative models, 
it will be tested on a high-fidelity commercial power plant simulator or on 
a real power plant facility. The online SI techniques will be tested on 
historical power plant data, dynamic models (including a power plant 
simulator), power generating equipment including laboratory pilot-scale 
power systems, and on power plants where feasible.",,"Artificial Intelligence, Big Data, Other",,Department of Energy
DOE-0065-2023,DOE,National Energy Technology Laboratory,,Prediction of gasification gas yield and compositions using machine learning,"A machine learning (ML) model will be developed to aid in investigating 
and optimizing of gasification with various feedstocks like waste plastic, 
waste coal, biomass and MSW. Database on the gasification will be 
built from main resources of literature, prior experiments in NETL, and 
new generating experiments in NETL. Al/ML will be a part of the project. 
It combines with experimental study to accelerate development of 
gasification applying to variour feedstocks including waste plastics, 
waste coal, MSW and its mixture. The ML will have more impact as the 
big database will be built.",,"Big Data, Other",,Department of Energy
DOE-0066-2023,DOE,National Energy Technology Laboratory,,Reduce computational cost of CFD simulations that screen for more efficient intensified solvent contactor geometries.,"Collaborate with Subtask 4.3 Machine Learning Support to reduce the 
computational complexity of validated CFD calculations using Deeper 
Fluids (DF), graph neural networks (GNNs), or similar ML approaches. 
Further development of ongoing process modeling/optimization 
ultimately informed by the CFD reduced order models (ROM) will also 
be a focus.",,"Neural Networks, Other",,Department of Energy
DOE-0067-2023,DOE,National Energy Technology Laboratory,,Rokbase Geologic Core Data Tool,"This project will develop the platform through which the DOE OGFL data 
are easily accessible, searchable, and described, enabling future R&D, 
sustainable resource planning, and responsible stewardship of the 
team’s national resources. NETL’s expertise in developing geo-data 
science, ML, visualization, online data mining and integration, and 
advanced analytics through scientific computing (including high 
performance computing and big data computing methods) and 
virtualized environments can be leveraged to support further intelligent 
analytics for offshore systems.",,"Neural Networks, Other",,Department of Energy
DOE-0068-2023,DOE,National Energy Technology Laboratory,,Solving Field Equations on the Wafer Scale Engine,"The intent is to develop a collocated, finite volume code to allow 
maximum mesh flexibility and support advanced CFD capabilities found 
in modern CFD codes like Fluent, OpenFOAM, and MFiX.
NETL will take a metered approach to development towards a fully 
reacting CFD capability on the WSE. EY22 will be filled with API 
capability expansions needed to support general purpose CFD 
applications, such as general purpose finite volume formulations, 
collocated grid capabilities (Rhie & Chow Interpolation), bit stuffing to 
save memory when dealing with cell types, general purpose boundary 
conditions, etc. In addition, the code will be benchmarked in a series of 
tests towards a fully reacting CFD capability that will support problems 
of interest to FECM.",,"Big Data, Other",,Department of Energy
DOE-0069-2023,DOE,National Energy Technology Laboratory,,To drive insights on the dependencies between the natural gas and electricity sectors to increase reliability of the NG system,"Commercially available models will be used to generate predictive 
scenarios",,Big Data,,Department of Energy
DOE-0070-2023,DOE,National Energy Technology Laboratory,,"To drive insights on the power system reliability, cost, and operations during the energy transition with and without FECM technologies","Commercially available models will be used to generate predictive 
scenarios",,Big Data,,Department of Energy
DOE-0071-2023,DOE,National Energy Technology Laboratory,,To accelerate discovery of protection system and laser processing of protective coatings on CMC for hydrogen turbines.,"The objectives of this project are to design, process, and validate a 
laser-manufactured, integrated, and graded bond coat-environmental 
barrier coat-thermal barrier coat (BC-EBC-TBC) system that can 
effectively protect and lead to the use of Silicon Carbide fiber/Silicon 
Carbide (SiCf/SiC) matrix CMCs in next-generation hydrogen-fueled 
turbines.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0072-2023,DOE,National Energy Technology Laboratory,,To accurately predict alloy & component performance extrapolated to conditions where experimental results to do not exist.,"AI/ML will be used to  interrogate databases comprised of  experimental 
data,  literature data,  and  synthetic data generated improved physics 
based models  to generate reduced order models to accurate predict 
materials the performance of materials and components under extreme 
environments (temperature, atmosphere) and complex loading (cyclical, 
triaxial) for long service life durations.",,"Big Data, Other",,Department of Energy
DOE-0073-2023,DOE,National Energy Technology Laboratory,,To analyze data and derive insights and improve predictions to forecast wellbore kick events to reduce loss of control events.,"Use of neural networks and/or AI cluster data analysis methods to 
improve detection and forecasting of wellbore and drilling related loss of 
control events, known as kicks, to imrpove real-time detection and 
prediction of these conditions.",,"Neural Networks, Other",,Department of Energy
DOE-0074-2023,DOE,National Energy Technology Laboratory,,"To apply machine learning applications to map carbon ore, rare earth element, and critical mineral resources","To identify information gaps, GIS and machine learning applications will 
be used to map carbon ore, rare earth element, and critical mineral 
resource infrastructure, and market data in consultation with NETL 
geospatial modeling activities. Research needs and technology gaps will 
be assessed, and resources targeted for sampling and characterization. 
This effort will provide a complete Northern Appalachian carbon ore, 
rare earth element, and critical mineral value chain basinal assessment 
to enable quick development of commercial projects.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0075-2023,DOE,National Energy Technology Laboratory,,To apply machine learning and data analytics techniques to integrated subsurface datasets to predict key reservoir properties and compare various fields across the area of study and to correlate vintage data with new data and address the distribution of fractures and vugs.,"Laboratory experiments will be used to optimize a CO2 flood 
composition specific to HTD rock properties, and subsequently design 
and simulate injection scenarios that offer wettability alteration, foaming, 
and reduced surface tension. This work will improve oil recovery from 
matrix porosity and mitigate the impact of fracture zones. The optimized 
design will be implemented and tested in a Trenton/Black River field. 
The results will provide strategies to improve oil recovery in complex 
carbonate formations in the Michigan Basin as well as in other 
carbonate plays.",,"Artificial Intelligence, Big Data",,Department of Energy
DOE-0076-2023,DOE,National Energy Technology Laboratory,,To apply machine learning methods to explore the inter-well uncertainty in the Goldsmith Landreth San Andres Unit and to update reservoir models.,"Engineered water can lower interfacial tension and minimize capillary 
forces that gravity can push the oil up and out of the matrix. This 
proposal is to test this technology in the field scale, in Goldsmith 
Landreth San Andres Unit. Apply history matching of flexible interface-
based reservoir models and ML methods such as generative 
adversarial networks that provide new methods to explore the inter-well 
uncertainty and to update the reservoir models.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0077-2023,DOE,National Energy Technology Laboratory,,To automate development of proxy models for power generation combustion systems.,"Detailed CFD of large combustion systems will be performed.   From 
the results, machine learning will be used to develop fast proxy models 
which can will provide results close to the CFD results, but in a small 
fraction of the time.   These fast models will then be used in real-time 
digital twin models of the power plant, which can be used to help the 
power plant operator to spot instrumentation failures or cyberattacks on 
the plant.",,Other,,Department of Energy
DOE-0078-2023,DOE,National Energy Technology Laboratory,,"To automate RDE image analysis, machine learning for RDE image analysis is being employed.","The expected outcome of this project will be extensive experimental 
data that can provide valuable insight in RDC design, coupling RDC with 
turbomachinery, model validation, and next generation combustion 
sensors that use artificial intelligence and computer vision.         Design 
of an optimized inlet to maximize pressure gain in an RDE relies on an 
understanding of the coupling between the inlet plenums (fuel and air), 
the combustor annular channel, and the exhaust diffusor. This creates a 
challenge for CFD as the models are significant and computationally 
expensive. NETL is continuing a collaboration with the University of 
Michigan to accelerate reacting flow CFD modeling using machine 
learning (ML).",,Other,,Department of Energy
DOE-0079-2023,DOE,National Energy Technology Laboratory,,"To build the first data analytics and artificial intelligence field laboratory for unconventional resources in the Powder River Basin, focusing on optimization of hydraulic fracture stimulations through the use of multiple diagnostic technologies.","To establish a tight oil Field Laboratory in the Powder River Basin and 
accelerate the development of three major unconventional oil resources 
through detailed geologic characterization and improved geologic 
models leading to significant advances in well completion and fracture 
stimulation designs specific to these three formations. Utilize multi-
variate analysis to understand the interrelationship between completion 
and stimulation controls on well productivity.",,"Artificial Intelligence, Big Data",,Department of Energy
DOE-0080-2023,DOE,National Energy Technology Laboratory,,To create a data-driven multiscale phytotechnology framework for identification and remediation of leached-metals-contaminated soil.,"The project objectives are to integrate satellite remote sensing, machine 
learning and image processing, geological engineering models, and soil 
science and plant pathology to: 1) identify potential leaching of metals 
from coal ash impoundments (Phase I), and 2) propose locally 
adaptable phytoextraction approaches to remediate contaminated 
regions (Phase II).",,Artificial Intelligence Unknown,,Department of Energy
DOE-0081-2023,DOE,National Energy Technology Laboratory,,To create and apply machine learning algorithms to predict carbon dioxide enhanced oil revoery improvements with rich gas in the Bell Creek Field and other selected fields.,"Create models with ML algorithms to predict CO2 EOR improvements 
with rich gas in the Bell Creek Field and other selected fields. The 
results of these models will be compared with the predictions of CMG’s 
reservoir simulations models.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0082-2023,DOE,National Energy Technology Laboratory,,To create reduced order models for predicting long term performance degradation behavior of fuel cells and electrolyzers.,"Machine learning algorithms are being used to analyze large datasets of 
microstructural and perfromance degradation simulations of various 
electrode microstructres to develop reduced order models that can be 
used for long-term perfromance degradation predictions of large area 
fuel cell/electrolysis cells and cell stacks. The reduced order models can 
be used for dynamic simulations that can more accurately mimic the 
changing loading conditions of the modern grid.",,"Big Data, Other",,Department of Energy
DOE-0083-2023,DOE,National Energy Technology Laboratory,,To demonstrate multi-gamma based sensor technology for as-fired coal property measurement,"Applying an advanced multigamma attenuation (MGA) sensor to 
accurately and precisely measure coal properties at the point of 
injection into burners.  
One research objective is to perform MGA testing and databases 
development for neural network developed fingerprinting of coal 
properties. This will include neural network refinement with MGA data 
and to upgrade Microbeam’s Combustion System Performance Indices 
(CSPI) – CoalTracker (CT) program with MGA-based neural network 
algorithms.",,"Artificial Intelligence, Neural Networks",,Department of Energy
DOE-0084-2023,DOE,National Energy Technology Laboratory,,To deploy dynamic neural network optimization to minimize heat rate during ramping for coal.,"The primary objective of the proposed work is to 1) deploy dynamic 
neural network optimization (D-NNO) to minimize heat rate during all 
phases of operation (ramping, low load, and high load) at a coal power 
plant. The project will build a high-fidelity, systems-level, dynamic model 
of the plant for a rapid prototyping environment for the D-NNO and to 
allow researchers to better understand the dynamic phenomena that 
occur during ramping and at various plant loads, and  Commercialize D-
NNO as a readily-available software application by working with an 
industry-proven software platform. The plant will be perturbed over time 
to allow machine learning (ML) models to be fitted to the plant’s 
response data.",,"Artificial Intelligence, Neural Networks",,Department of Energy
DOE-0085-2023,DOE,National Energy Technology Laboratory,,"To design, develop, and demonstrate an AI-integrated physics-based attack resilient proactive system.","Enable ""defense-in-depth"" cyber-physical system (CPS) security and 
resiliency for the distribution grid. The recipient will design, develop, and 
demonstrate a vendor-agonistic scalable Artificial Intelligence Integrated 
Attack-Resilient Proactive System (AI-ARPS) for utility distribution grid 
systems including advanced distribution management system (ADMS) 
and DER management system (DERMS) applications.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0086-2023,DOE,National Energy Technology Laboratory,,"To design, proto-type and demonstrate a miniaturized implementation of a multi-process, high-spatial-resolution monitoring system for boiler condition management.","Project will develop control logic for automated control of bituminous 
coal-fired boiler. Plant operational data will be compared against 
monitoring data to determine when different sensor output from a 
miniaturized high temperature multi-process, high-spatial-resolution 
monitoring system signifies damaging conditions in that region of the 
boiler, and what operational changes can be made to eliminate the 
damaging condition. The control logic will be developed for automated 
control of soot-blowing and other boiler operations",,,,Department of Energy
DOE-0087-2023,DOE,National Energy Technology Laboratory,,To detect leaks and creaks.,"The relevant research has been focused on demonstrating applicability 
of novel machine learning based approaches to two major challenges 
associated with safe management of large-scale geologic CO2 storage 
operations, early detection of leaks (i.e., by detecting small leaks) and 
early detection of induced seismicity (i.e. by detecting small seismic 
signals).",,Artificial Intelligence Unknown,,Department of Energy
DOE-0088-2023,DOE,National Energy Technology Laboratory,,To develop 5G integrated edge computing platform for efficient component monitoring in coal-fired power plants,"Develop an on-demand distributed edge computing platform to gather, 
process, and efficiently analyze the component health data in coal-fired 
power plants. Given that edge computing servers are closer to the field 
devices in modernized power plants, the efficiency of edge computing 
service with respect to dynamic orchestration, resource data collection, 
and health information monitoring will be investigated for timely detection 
of remote faults and to perform diagnosis.",,Big Data,,Department of Energy
DOE-0089-2023,DOE,National Energy Technology Laboratory,,To develop a deep-learning Artificial Intelligence model for analysis of fundamental combustion characteristics,"A deep-learning Artificial Intelligence model will be pursued for rapid 
analysis of detailed fundamental combustion characteristics that support 
the design and troubleshooting process of H2-containing fuel combustor 
development.",,"Artificial Intelligence, Neural Networks",,Department of Energy
DOE-0090-2023,DOE,National Energy Technology Laboratory,,To develop a general drag model for assemblies of non-spherical particles created with artificial neural networks,"The project plans to develop a more accurate artificial neural network 
(ANN)-based method for modeling the momentum exchange in fluid-
solid multiphase mixtures to significantly improve the accuracy and 
reduce the uncertainty of multiphase numerical codes and, in particular, 
of MFiX, by developing and providing a general and accurate method for 
determining the drag coefficients of assemblies of non-spherical 
particles for wide ranges of Reynolds numbers, Stokes numbers, and 
fluid-solid properties and characteristics. The research team will achieve 
this goal by conducting numerical computations with a validated in-
house CFD code and using artificial intelligence methods to develop an 
ANN that will be implemented in TensorFlow and linked with the MFiX 
code.",,"Artificial Intelligence, Neural Networks",,Department of Energy
DOE-0091-2023,DOE,National Energy Technology Laboratory,,"To develop a novel platform for secure data logging and processing in fossil fuel power generation systems using blockchain and machine learning to reduce down time for fossil energy power plants, limit reductions of power and reduce cost for repairs.","Machine learning model development will consist of traditional machine 
learning and deep learning algorithms implementation for anomaly 
detection.  Machine learning server will be used to develop the 
traditional models using One-Class Support Vector Machine (SVM) and 
K-Mean Clustering and deep learning models using Recurrent Neural 
Network (RNN) and its various implementations like Long Short-Term 
Memory (LSTM), Gated Recurrent Unit (GRU), Generative Adversarial 
Network (GAN), and Autoencoders using the sensor data collected from 
secure sensor network.",,"Artificial Intelligence, Neural Networks",,Department of Energy
DOE-0092-2023,DOE,National Energy Technology Laboratory,,"To develop a wireless, distributed data acquisition and interpretation system foe seismic monitoring and carbon storage characterization.","Resensys plans to develop a wireless, distributed data acquisition and 
interpretation system tailored for monitoring and characterization of 
seismic activity at carbon storage sites.  The seismicity data collected in 
real time during the CO2 storage site characterization and sequestration 
processes combined with advanced signal processing and Artificial 
Intelligence and Machine Learning (AI/ML) methodologies provide an 
understanding of natural seismicity risks prior to any CO2 injection, prior 
to making large investments in developing the storage project.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0093-2023,DOE,National Energy Technology Laboratory,,To develop an AI-driven integrated autonomous robotic visual inspection (RVI) platform.,"The overall objective of the research is to develop an AI-driven 
integrated autonomous robotic visual inspection (RVI) platform that can 
perform real-time defect identification, dynamic path planning, and safe 
navigation in a closed-loop manner. The",,"Artificial Intelligence, Robotic Processing Automation (RPA)",,Department of Energy
DOE-0094-2023,DOE,National Energy Technology Laboratory,,To develop an Artificial intelligence- based model for rotating detonation engine designs,"An artificial intelligence-based model will be used to develop low-loss 
rotating detonation engine (RDE) designs for use in power generation 
using natural gas/syngas mixtures. The model formulation will enable full-
scale RDE calculations over 100-1000 detonation cycles.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0095-2023,DOE,National Energy Technology Laboratory,,To develop and create an autonomous robotic inspection system.,"The goal of the project is to prevent negative environmental and 
socioeconomic impacts of coal waste (coal ash and tailings) by 
developing an aerial robot-enabled inspection and monitoring system of 
active and abandoned coal ash and tailings storage facilities. The first 
objective of this project is the development of a programmable drone, 
equipped with several complementary sensors, that will autonomously 
inspect several structures of a storage facility. The second objective of 
this project is to create artificial intelligence-based hazard detection 
algorithms that will use multispectral and georeferenced images (i.e., 
thermal and visual) and 3D Point Clouds data collected by an 
autonomous drone to detect hazards in the storage facility structure that 
would indicate uncontrolled leakage to the environment or lead to the 
potential failure of the structure.",,"Artificial Intelligence, Robotic Processing Automation (RPA)",,Department of Energy
DOE-0096-2023,DOE,National Energy Technology Laboratory,,To develop and demonstrate drone- based geophysical and remote- sensing technologies to quantify critical minerals (CM).,"To develop and demonstrate drone-based geophysical and remote-
sensing technologies to quantify critical minerals (CM) in coal, coal 
related, unconventional and secondary sources or energy related waste 
streams. Drone-based geophysical surveys and remote sensing 
combined with artificial intelligence/machine learning (AI/ML) analytics 
for real-time integration and analytics has potential to transform 
characterization and monitoring for CM from conventional and 
secondary resources.",,"Artificial Intelligence, Robotic Processing Automation (RPA)",,Department of Energy
DOE-0097-2023,DOE,National Energy Technology Laboratory,,To develop and evaluate a general drag model for gas-solid flows via physics-informed deep machine learning,"The project will evaluate the performance of several ANN algorithms for 
machine learning, pertinent to the deep neural network (DNN) 
algorithms. The DNN candidates will include random forest (RF), BPNN, 
XGBoost, and other supervised deep neural network algorithms. The 
best DNN algorithm will be identified by ranking of these algorithms’ 
performance. The Recipient will integrate the deep learning ANN model 
(DNN model) into the multiphase flow simulation software MFiX-DEM, 
which is part of the NETL’s open source CFD suite of software MFiX. 
The DNN based drag model developed on TensorFlow will be 
implemented using NETL’s existing software links between MFiX and 
TensorFlow.",,"Artificial Intelligence, Neural Networks",,Department of Energy
DOE-0098-2023,DOE,National Energy Technology Laboratory,,To develop and validate sensor hardware and analytical algorithms to lower plant operating expenses for the pulverized coal utility boiler fleet,"The objective is to develop and validate sensor hardware and analytical 
algorithms to lower plant operating expenses for the pulverized coal 
utility boiler fleet. The focus is on relatively inexpensive new “Internet of 
Things” technologies to minimize capital investment. Three technologies 
will be explored for demonstration and full-scale testing in a coal-fired 
power plant. The first focuses on gas and steam temperature control 
issues at low load. The second uses sensors and analytic algorithms for 
monitoring coal pulverizer operation at lower loads to reduce the 
minimum firing capability of coal burners. The third investigates new 
sensors and advanced controls to better balance air and fuel at each 
burner enabling reduction in the minimum firing capability of coal 
burners.",,,,Department of Energy
DOE-0099-2023,DOE,National Energy Technology Laboratory,,To develop artificial intelligence- enabled tools (ArtIT) for cyber hardening of power grids.,"To develop a novel resiliency framework for power grids by integrating 
different theories, such as closed-loop controls, security, agility, formal 
reasoning and synthesis, machine learning, and laboratory setup 
demonstration. The framework will provide enhanced resiliency to wide-
area control operations in cyberattacks.",,Artificial Intelligence Unknown,,Department of Energy
DOE-0100-2023,DOE,National Energy Technology Laboratory,,To develop drag models for non- spherical particles through machine learning,"Produce comprehensive experimental and numerical datasets for gas-
solid flows in well-controlled settings to understand the aerodynamic 
drag of non-spherical particles in the dense regime. The datasets and 
the gained knowledge will train deep neural networks to formulate a 
general drag model for use directly in NETL MFiX-DEM module. This will 
help to advance the accuracy and prediction fidelity of the computational 
tools that will be used in designing and optimizing fluidized beds and 
chemical looping reactors",,"Artificial Intelligence, Neural Networks",,Department of Energy
