Use Case Name,Agency,Bureau / Department,Summary of Use Case,Stage of System Development Life Cycle,Date Initiated,Date when Development and/or Acquisition began (if applicable),Date Implemented (if applicable),Contact Email,Developer Information,Consistent with EO 13960?,
Artificial Intelligence (AI)-based Natural Language Processing (NLP) for FDA labeling documents,FDA,NCTR,"FDA has historically generated and continues to generate a variety of documents during the product-review process, which are typically unstructured text and often not follows the use of standards. Therefore, analysis of semantic relationships plays a vital role to extract useful information from the FDA documents to facilitate the regulatory science research and improve FDA product review process. The rapid advancement in artificial intelligence (AI) for Natural Language Processing (NLP) offers an unprecedent opportunity to analyze the semantic text data by using the language models that are trained with large biomedical corpus. This study is to assess the AI based NLP for the FDA documents with a focus on the FDA labeling documents. Specifically, we will apply the publicly available language models (e.g., BERT and BioBERT) to the FDA drug labeling documents available from the FDA Label tool that manages over 120K labeling documents including over 40K Human Prescription Drug and Biological Products. We will investigate three areas of AI applications that are important to the regulatory science research: (1) the interpretation and classification of drug properties (e.g., safety and efficacy) with AI reading, (2) text summarization to provide highlights of labeling sections, (3) automatic anomaly analysis (AAA) for signal identification, and (4) information retrieval with Amazon-like Questions/Answer. We will compare the AI based NLP with MedDRA based approach whenever possible for drug safety and efficacy. The study will provide a benchmark for fit-for-purpose application of the public language models to the FDA documents and, moreover, the outcome of the study could provide a scientific basis to support the future development of FDALabel tool which is widely used in CDER review process.",Implementation,5/14/2021,,,hhs.caio@hhs.gov,In-house,Yes,
Informing selection of drugs for COVID-19 treatment by big data analytics and artificial intelligence,FDA,NCTR,"The pandemic of COVID-19 is the biggest global health concern currently. As of July 11, 2020, more than 12 million people have been tested positive of SARS-COV-2 virus infection and more than half million deaths have been caused by COVID-19 in the world. Currently, no vaccines and/or drugs have been proved to be effective to treat COVID-19. Therefore, many drug products on the market are being repurposed for the treatment of COVID-19. However, sufficient evidence is needed to determine that the repurposed drugs are safe and effective. Therefore, safety information on the drugs  selected for repurposing purpose is important. The proposed project aims to mine adverse drug events using artificial intelligence and big data analytics in the public domain including the agency's database, public databases, and social media data for the drugs to be repurposed for the treatment of COVID-19. The ultimate goal of this project is to provide detailed adverse event information that can be used to facilitate safety evaluation for drugs repurposed for the treatment COVID-19. The detailed adverse event information will be used to develop recommendations for selecting the right drugs for repurposing efforts and for help select the appropriate COVID-19 patients and thus better to combat the pandemic.",Implementation,3/27/2021,,,hhs.caio@hhs.gov,In-house,Yes,
Towards Explainable AI: Advancing Predictive Modeling for Regulatory Use,FDA,NCTR,"Artificial Intelligence (AI) is a broad discipline of training machines to think and accomplish complex intellectual tasks like humans. It learns from existing data/information to predict future outcomes, distill knowledge, offer advices, or plan action steps. The rise of AI has offered both opportunities and challenges to FDA in two aspects: (1) how to assess and evaluate marketed AI-centric products and (2) how to implement AI methods to improve the agency's operation. One of the key aspects of both regulatory applications is to understand the underlying features driving the AI performance and to the extension of its interpretability in the context of application.  
 
Different from the statistical evaluation (e.g., accuracy, sensitivity and specificity), model interpretability assessment lacks quantitative metrics. In most cases, the assessment tends to be subjective, where prior knowledge is often used as a ground-truth to explain the biological relevance of underlying features, e.g., whether the biomarkers featured by the model are in accordance with the existing findings. In reality, there is a trade-off between statistical performance and interpretability among different AI algorithms, and understanding the difference will improve the context of use of AI technologies in regulatory science.  

For that, we will investigate representative AI methods, in terms of their performance and interpretability, first through benchmark datasets that have been well-established in the research community, then extended to clinical/pre-clinical datasets. This project will provide basic parameters and offer an insightful guidance on developing explainable AI models to facilitate the real-world decision making in regulatory settings.",Implementation,3/27/2021,,,hhs.caio@hhs.gov,In-house,Yes,
Identification of sex differences on prescription opioid use (POU)-related cardiovascular risks by big data analysis,FDA,NCTR,"1) Prescription opioid use (POU) varies among patient population subgroups, such as gender, age, and ethnicity. POU can potentially cause various adverse effects in the respiratory, gastrointestinal, musculoskeletal, cardiovascular, immune, endocrine, and central nervous systems. Important sex differences have been observed in POU-associated cardiac endpoints. Currently, systematic knowledge is lacking for risk factors associated with the increased cardiotoxicity of POU in women. 2) Currently, the FDA utilizes two methods of analysis for data mining, the Proportional Reporting Ratio (PRR) and the Empirical Bayesian Geometric Mean (EBGM) to identify significant statistical associations between products and adverse events (AEs). These methods are not applicable when two or more reporting measures (e.g. gender, age, race, etc.) must be considered and compared. In this study, a novel statistical model will be developed to detect the safety signals when gender is considered as the third variable. Safety signals will then be detected and compared from combined multiple-layered real-world evidence in the form of EHRs from diverse sources. Sex-dependent differences in risk factors for cardiotoxicity from POU will be identified and analyzed using big data methods and AI-related tools. 3) The proposed project addresses the first of four priority areas of FDA's 2018 Strategic Policy Roadmap: Reduce the burden of addiction crises that are threatening American families, and two priority areas of Women's Health Research Roadmap: Priority Area 1: Advance Safety and Efficacy, and Priority Area 5: Expand Data Sources and Analysis. The results may provide information and knowledge to help the FDA drug reviewers and physicians be aware of sex differences to certain POU drugs and combinations of POU with other prescription drugs, therefore, preventing or reducing risk of the POU drug-induced CVD in women.",Development and Acquisition,9/7/2021,,,hhs.caio@hhs.gov,In-house,Yes,
NCTR/DBB-CDER/OCS collaboration on A SafetAI Initiative to Enhance IND Review Process ,FDA,NCTR,"The development of animal-free models has been actively investigated and successfully demonstrated as an alternative to animal-based approaches for toxicity assessments.  Artificial Intelligence (AI) and Machine learning (ML) have been the central engine in this paradigm shift to identify safety biomarkers from non-animal assays or to predict safety outcomes solely based on chemical structure data. AI is a computer system or algorithm that has the ability to learn from existing data to foresee the future outcome. ML, a subset of AI, has been specifically studied to make predictions for adverse drug reactions. Deep Learning (DL) is arguably the most advanced approach in ML which frequently outperforms other types of ML approaches (or conventional ML approaches) for the study of drug safety and efficacy. DL usually consists of multiple layers of neural networks to mimic the cognitive behaviors associated with the human brain learning and problem-solving process to solve data intensive problems. Among many studies using AI/ML, DL has become a default algorithm to consider due to its superior performance. This proposal will apply DL to flag safety concerns regarding drug-induced liver injury (DILI) and carcinogenicity during the IND review process.",Initiation,6/3/2022,,,hhs.caio@hhs.gov,In-house,Yes,
Using XGBoost Machine Learning Method to Predict Antimicrobial Resistance from WGS data,FDA,CVM,"Genomic data and artificial intelligence/machine learning (AI/ML) are used to study antimicrobial resistance (AMR) in Salmonella, E. coli, Campylobacter, and Enterococcus, isolated from retail meats, humans, and food producing animals. The Boost Machine Learning Model (XGBoost) is implemented to improve upon categorical resistance vs susceptible predictions by predicting antimicrobial Minimum Inhibitory Concentrations (MICs) from WGS data.",Development and Acquisition,1/1/2019,1/1/2020,,hhs.caio@hhs.gov,In-house,Yes,
individual Functional Activity Composite Tool (inFACT),NIH,National Institutes of Health (NIH) CC,inFACT is being developed for use in the Social Security Administration (SSA) disability determination process to assist adjudicators in identifying evidence on function from case records that might be hundreds or thousands of pages long. inFACT displays information on whole person function as extracted from an individual's free text medical records and aligned with key business elements.,Development and Acquisition,,,9/30/2024,hhs.caio@hhs.gov,Contracted,Yes,
Assisted Referral Tool,NIH,National Institutes of Health (NIH) CSR,To provide assistance in assigning appropriate scientific areas for grant applications.,Operation and Maintenance,,,5/15/2018,hhs.caio@hhs.gov,Contracted,Yes,
NanCI: Connecting Scientists,NIH,National Institutes of Health (NIH) NCI,"Uses AI to match scientific content to users interests. By collecting papers into a folder a user can engage the tool to find similar articles in the scientific literature, and can refine the recommendations by up or down voting of recommendations. Users can also connect with others via their interests, and receive and make recommendations via this social network.",Development and Acquisition,,,1/1/2024,hhs.caio@hhs.gov,Contracted,Yes,
Detection of Implementation Science focus within incoming grant applications,NIH,National Institutes of Health (NIH) NHLBI,"This tool uses natural language processing and machine learning to calculate an Implementation Science (IS) score that is used to predict if a newly submitted grant application proposes to use science that can be categorized as ""Implementation Science"" (a relatively new area of delineation). NHLBI uses the ""IS score"" in its decision for assigning the application to a particular division for routine grants management oversight and administration.",Operation and Maintenance,,,1/1/2020,hhs.caio@hhs.gov,In-house,Yes,
Federal IT Acquisition Reform Act (FITARA) Tool,NIH,National Institutes of Health (NIH) NIAID,The tool automates the identification of NIAID contracts that are IT-related.,Operation and Maintenance,,,7/1/2017,hhs.caio@hhs.gov,Contracted,Yes,
"Division of Allergy, Immunology, and Transplantation (DAIT) AIDS-Related Research Solution",NIH,National Institutes of Health (NIH) NIAID,"The tool uses natural language processing (NLP), text extraction, and classification algorithms to predict both high/medium/low priority and area of research for a grant application. The incoming grant applications are ranked based on these predictions and more highly-ranked applications are prioritized for review.",Operation and Maintenance,,,3/1/2019,hhs.caio@hhs.gov,Contracted,Yes,
Scientific Research Data Management System Natural Language Processing Conflict of Interest Tool,NIH,National Institutes of Health (NIH) NIAID,"A tool that identifies entities within a grant application to allow NIAID's Scientific Review Program team to more easily identify conflicts of interest (COI) between grant reviewers and applicants using NLP methods (e.g., OCR, text extraction).",Operation and Maintenance,,,10/1/2019,hhs.caio@hhs.gov,Contracted,Yes,
Tuberculosis (TB) Case Browser Image Text Detection,NIH,National Institutes of Health (NIH) NIAID,A tool to detect text in images that could be potentially Personally Identifiable Information (PII)/ Protected Health Information (PHI) in TB Portals.,Operation and Maintenance,,,7/1/2019,hhs.caio@hhs.gov,Contracted,Yes,
Research Area Tracking Tool,NIH,National Institutes of Health (NIH) NIAID,A dashboard that incorporates machine learning to help identify projects within certain high-priority research areas.,Operation and Maintenance,,,1/1/2021,hhs.caio@hhs.gov,In-house,Yes,
NIDCR Digital Transformation Initiative (DTI),NIH,National Institutes of Health (NIH) NIDCR,"An initiative to create a natural language processing chatbot to improve efficiency, transparency, and consistency for NIDCR employees. ",Development and Acquisition,,,6/1/2023,hhs.caio@hhs.gov,Contracted,Yes,
NIDCR Data Bank,NIH,National Institutes of Health (NIH) NIDCR,"The project will permit intramural research program investigators to move large sets of unstructured data into a cloud archival storage, which will scale, provide cost effective data tiering, capture robust meta data sufficient for management and governance, and create secondary or tertiary opportunities for analysis leveraging cognitive services AI/ML/NLP toolsets.",Development and Acquisition,,,6/1/2023,hhs.caio@hhs.gov,Contracted,Yes,
Automated approaches for table extraction,NIH,National Institutes of Health (NIH) NIEHS,"This project developed an automated, model-based processes to reduce the time and level of effort for manual extraction of data from tables. Published data tables are a particularly data-rich and challenging presentation of critical information in published research.",Development and Acquisition,,,1/1/2020,hhs.caio@hhs.gov,Contracted,Yes,
SWIFT Active Screener,NIH,National Institutes of Health (NIH) NIEHS,Applies statistical models designed to save screeners time and effort through active learning. Utilize user feedback to automatically prioritize studies. Supports literature screening for Division of Translational Toxicology evidence evaluations.,Operation and Maintenance,,,1/1/2020,hhs.caio@hhs.gov,In-house,Yes,
Splunk IT System Monitoring Software,NIH,National Institutes of Health (NIH) NIEHS,Utilizes machine learning to aggregate system logs from on-premises IT infrastructure systems and endpoints for auditing and cybersecurity monitoring purposes.,Operation and Maintenance,,,1/1/2020,hhs.caio@hhs.gov,Contracted,Yes,
Clinical Trial Predictor,NIH,National Institutes of Health (NIH) NIGMS,"The Clinical Trial Predictor uses an ensemble of several natural language processing and machine learning algorithms to predict whether applications may involve clinical trials based on the  text of their titles, abstracts, narratives, specific aims, and research strategies.",Implementation,,,5/1/2023,hhs.caio@hhs.gov,In-house,Yes,
Stem Cell Auto Coder,NIH,National Institutes of Health (NIH) NIGMS,"The Stem Cell Auto Coder uses natural language processing and machine learning to predict the Stem Cell Research subcategories of an application: human embryonic, non-human embryonic, human induced pluripotent, non-human induced pluripotent, human non-embryonic, and non-human non-embryonic.",Implementation,,,5/1/2023,hhs.caio@hhs.gov,In-house,Yes,
JIT Automated Calculator (JAC),NIH,National Institutes of Health (NIH) NIGMS,The JIT Automated Calculator (JAC) uses natural language processing to parse Just-In-Time (JIT) Other Support forms and determine how much outside support PIs are receiving from sources other than the pending application.,Implementation,,,5/1/2023,hhs.caio@hhs.gov,In-house,Yes,
Similarity-based Application and Investigator Matching (SAIM),NIH,National Institutes of Health (NIH) NIGMS,The SAIM system uses natural language processing to identify non-NIH grants awarded to NIGMS Principal Investigators. The system aids in identifying whether a grant application has significant unnecessary overlap with one funded by another agency.,Development and Acquisition,,,1/1/2024,hhs.caio@hhs.gov,In-house,Yes,
Remediate Adobe .pdf documents to be more accessible,NIH,National Institutes of Health (NIH) NLM,Many .pdf documents could be made available for public release if they conformed to Section 508 accessibility standards. NLM has been investigating the use of AI developed to remediate Adobe .pdf files not currently accessible to Section 508 standards. The improved files are particularly more accessible to those like the blind who use assistive technology to read.,Development and Acquisition,,,10/30/2023,hhs.caio@hhs.gov,In-house,Yes,
CylanceProtect,NIH,National Institutes of Health (NIH) NLM,Protection of Windows and Mac endpoints from Cyberthreats,Operation and Maintenance,,,9/6/2019,hhs.caio@hhs.gov,In-house,Yes,
MEDIQA: Biomedical Question Answering,NIH,National Institutes of Health (NIH) NLM,Using and developing AI approaches to automate question answering for different users. This project leverages NLM knowledge sources and traditional and neural machine learning to address a wide-range of biomedical information needs. This project aims for improving access with one-entry access point to NLM resources.,Initiation,,,3/1/2023,hhs.caio@hhs.gov,Contracted,Yes,
CLARIN: Detecting clinicians' attitudes through clinical notes,NIH,National Institutes of Health (NIH) NLM,"Understanding clinical notes and detecting bias is essential in supporting equity and diversity, as well as quality of care and decision support. NLM is using and developing AI approaches to detect clinicians' emotions, biases and burnout.",Development and Acquisition,,,12/30/2023,hhs.caio@hhs.gov,In-house,Yes,
Best Match: New relevance search for PubMed,NIH,National Institutes of Health (NIH) NLM,"PubMed is a free search engine for biomedical literature accessed by millions of users from around the world each day. With the rapid growth of biomedical literature, finding and retrieving the most relevant papers for a given query is increasingly challenging. NLM developed Best Match, a new relevance search algorithm for PubMed that leverages the intelligence of our users and cutting-edge machine-learning technology as an alternative to the traditional date sort order. ",Operation and Maintenance,,,1/1/2023,hhs.caio@hhs.gov,In-house,Yes,
SingleCite: Improving single citation search in PubMed,NIH,National Institutes of Health (NIH) NLM,"A search that is targeted at finding a specific document in databases is called a Single Citation search, which is particularly important for scholarly databases, such as PubMed, because it is a typical information need of the users. NLM developed SingleCite, an automated algorithm that establishes a query-document mapping by building a regression function to predict the probability of a retrieved document being the target based on three variables: the score of the highest scoring retrieved document, the difference in score between the two top retrieved documents, and the fraction of a query matched by the candidate citation. SingleCite shows superior performance in benchmarking experiments and is applied to rescue queries that would fail otherwise.",Operation and Maintenance,,,1/1/2023,hhs.caio@hhs.gov,In-house,Yes,
Computed Author: author name disambiguation for PubMed,NIH,National Institutes of Health (NIH) NLM,"PubMed users frequently use author names in queries for retrieving scientific literature. However, author name ambiguity (different authors share the same name) may lead to irrelevant retrieval results. NLM developed a machine-learning method to score the features for disambiguating a pair of papers with ambiguous names. Subsequently, agglomerative clustering is employed to collect all papers belong to the same authors from those classified pairs. Disambiguation performance is evaluated with manual verification of random samples of pairs from clustering results, with a higher accuracy than other state-of-the-art methods. It has been integrated into PubMed to facilitate author name searches.",Operation and Maintenance,,,1/1/2023,hhs.caio@hhs.gov,In-house,Yes,
NLM-Gene: towards automatic gene indexing in PubMed articles,NIH,National Institutes of Health (NIH) NLM,"Gene indexing is part of the NLM's MEDLINE citation indexing efforts for improving literature retrieval and information access. Currently, gene indexing is performed manually by expert indexers. To assist this time-consuming and resource-intensive process, NLM developed NLM-Gene, an automatic tool for finding gene names in the biomedical literature using advanced natural language processing and deep learning methods. Its performance has been assessed on gold-standard evaluation datasets and is to be integrated into the production MEDLINE indexing pipeline.",Initiation,,,9/1/2023,hhs.caio@hhs.gov,In-house,Yes,
NLM-Chem: towards automatic chemical indexing in PubMed articles,NIH,National Institutes of Health (NIH) NLM,"Chemical indexing is part of the NLM's MEDLINE citation indexing efforts for improving literature retrieval and information access. Currently, chemicals indexing is performed manually by expert indexers. To assist this time-consuming and resource-intensive process, NLM developed NLM-Chem, an automatic tool for finding chemical names in the biomedical literature using advanced natural language processing and deep learning methods. Its performance has been assessed on gold-standard evaluation datasets and is to be integrated into the production MEDLINE indexing pipeline.",Initiation,,,12/1/2023,hhs.caio@hhs.gov,In-house,Yes,
Biomedical Citation Selector (BmCS),NIH,National Institutes of Health (NIH) NLM,"Automation of article selection allows NLM to more efficiently and effectively index and host relevant information for the public. Through automation, NLM is able standardize article selection and reduce the amount of time it takes to process MEDLINE articles.",Implementation,,,1/1/2023,hhs.caio@hhs.gov,Contracted,Yes,
MTIX,NIH,National Institutes of Health (NIH) NLM,Machine learning-based system for the automated indexing of MEDLINE articles with Medical Subject Headings (MeSH) terms. Automated indexing is achieved using a multi-stage neural text ranking approach. Automated indexing allows for cost-effective and timely indexing of MEDLINE articles.,Implementation,,,5/1/2023,hhs.caio@hhs.gov,Contracted,Yes,
ClinicalTrials.gov Protocol Registration and Results System Review Assistant,NIH,National Institutes of Health (NIH) NLM,This research project aims to help ClinicalTrials.gov determine whether the addition of AI could make reviewing study records more efficient and effective.,Development and Acquisition,,,1/1/2025,hhs.caio@hhs.gov,Contracted,Yes,
MetaMap,NIH,National Institutes of Health (NIH) NLM,"MetaMap is a widely available program providing access from biomedical text to the concepts in the unified medical language system (UMLS) Metathesaurus. MetaMap uses NLP to provide a link between the text of biomedical literature and the knowledge, including synonymy relationships, embedded in the Metathesaurus. The flexible architecture in which to explore mapping strategies and their application are made available. MTI uses the MetaMap to generate potential indexing terms. ",Operation and Maintenance,,,6/19/2005,hhs.caio@hhs.gov,Contracted,Yes,
Pangolin lineage classification of SARS-CoV-2 genome sequences,NIH,National Institutes of Health (NIH) NLM,"The PangoLEARN machine learning tool provides lineage classification of SARS-CoV-2 genome sequences. Classification of SARS-CoV-2 genome sequences into defined lineages supports user retrieval of sequences based on classification and tracking of specific lineages, including those lineages associated with mutations that may decrease the effectiveness of therapeutics or protection provided by vaccination.",Operation and Maintenance,,,4/1/2021,hhs.caio@hhs.gov,In-house,Yes,
HIV-related grant classifier tool,NIH,National Institutes of Health (NIH) OD/DPCPSI/OAR,"A front-end application for scientific staff to input grant information which then runs an automated algorithm to classify HIV-related grants.  Additional features and technologies used include an interactive data visualization, such as a heat map, using Plotly Python library to display the confidence level of predicted grants. ",Implementation,,,3/1/2023,hhs.caio@hhs.gov,In-house,Yes,
Automated approaches to analyzing scientific topics,NIH,National Institutes of Health (NIH) OD/DPCPSI/OPA,"Developed and implemented a validated approach that uses natural language processing and AI/ML to group semantically similar documents (including grants, publications, or patents) and extract AI labels that accurately reflect the scientific focus of each topic to aid in NIH research portfolio analysis. ",Implementation,,,2/27/2023,hhs.caio@hhs.gov,Contracted,Yes,
Identification of emerging areas,NIH,National Institutes of Health (NIH) OD/DPCPSI/OPA,Developed an AI/ML-based approach that computes the age and rate of progress of topics in NIH portfolios. This information can identify emerging areas of research at scale and help accelerate scientific progress.,Implementation,,,2/27/2023,hhs.caio@hhs.gov,Contracted,Yes,
Person-level disambiguation for PubMed authors and NIH grant applicants,NIH,National Institutes of Health (NIH) OD/DPCPSI/OPA,"Correct attribution of grants, articles, and other products to individual researchers is critical for high quality person-level analysis. This improved method for disambiguation of authors on articles in PubMed and NIH grant applicants can inform data-driven decision making",Implementation,,,2/27/2023,hhs.caio@hhs.gov,Contracted,Yes,
Prediction of transformative breakthroughs,NIH,National Institutes of Health (NIH) OD/DPCPSI/OPA,"The ability to predict scientific breakthroughs at scale would accelerate the pace of discovery and improve the efficiency of research investments. The initiative has helped identify a common signature within co-citation networks that accurately predicts the occurrence of breakthroughs in biomedicine, on average more than 5 years in advance of the subsequent publication(s) that announced the discovery. There is a patent application filed for this approach: U.S. Patent Application No. 63/257,818 (filed October 20, 2021)",Implementation,,,2/27/2023,hhs.caio@hhs.gov,Contracted,Yes,
Machine learning pipeline for mining citations from full-text scientific articles,NIH,National Institutes of Health (NIH) OD/DPCPSI/OPA,"The NIH Office of Portfolio Analysis developed a machine learning pipeline to identify scientific articles that are freely available on the internet  and do not require an institutional library subscription to access. The pipeline harvests full-text pdfs, converts them to xml, and uses a Long Short-Term Memory (LSTM) recurrent neural network model that discriminates between reference text and other text in the scientific article. The LSTM-identified references are then passed through our Citation Resolution Service. For more information see the publication describing this pipeline: Hutchins et al 2019 (https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000385#sec003).",Operation and Maintenance,,,6/3/2019,hhs.caio@hhs.gov,Contracted,Yes,
Machine learning system to predict translational progress in biomedical research,NIH,National Institutes of Health (NIH) OD/DPCPSI/OPA,A machine learning system that detects whether a research paper is likely to be cited by a future clinical trial or guideline. Translational progress in biomedicine can therefore be assessed and predicted in real time based on information conveyed by the scientific community's early reaction to a paper. For more information see the publication describing this system: Hutchins et al 2019 (https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000416),Operation and Maintenance,,,11/29/2018,hhs.caio@hhs.gov,Contracted,Yes,
"Research, Condition, and Disease Categorization (RCDC) AI Validation Tool",NIH,National Institutes of Health (NIH) OD/OER,The goal of the tool is to ensure RCDC categories are accurate and complete for public reporting of data. ,Development and Acquisition,,,2/24/2023,hhs.caio@hhs.gov,Contracted,Yes,
Internal Referral Module  (IRM),NIH,National Institutes of Health (NIH) OD/OER,The IRM initiative automates a manual process by using Artificial Intelligence & Natural Language Processing capabilities to help predict grant applications to NIH Institutes and Centers (ICs) Program Officers to make informed decisions.,Implementation,,,2/27/2023,hhs.caio@hhs.gov,In-house,Yes,
NIH Grants Virtual Assistant,NIH,National Institutes of Health (NIH) OD/OER,Chat Bot to assist users in finding grant related information via OER resources,Operation and Maintenance,,,1/13/2021,hhs.caio@hhs.gov,In-house,Yes,
Tool for Nature Gas Procurement Planning,NIH,National Institutes of Health (NIH) OD/ORF,"With this tool, NIH can establish a natural gas procurement plan and set realistic price targets based on current long-term forecasts.",Implementation,,,7/3/2023,hhs.caio@hhs.gov,In-house,Yes,
NIH Campus Cooling Load Forecaster,NIH,National Institutes of Health (NIH) OD/ORF,"This project forecasts the NIH campus's chilled water demand for the next four days. With this information, the NIH Central Utilities Plant management can plan and optimize the chiller plant's operation and maintenance.",Operation and Maintenance,,,10/17/2022,hhs.caio@hhs.gov,In-house,Yes,
NIH Campus Steam Demand Forecaster,NIH,National Institutes of Health (NIH) OD/ORF,"This project forecasts the NIH campus steam demand for the next four days. With this information, the stakeholders at the NIH Central Utilities Plant can plan and optimize the plant operation and maintenance in advance.",Operation and Maintenance,,,10/24/2022,hhs.caio@hhs.gov,In-house,Yes,
Chiller Plant Optimization,NIH,National Institutes of Health (NIH) OD/ORF,This project will help to reduce the energy usage for producing chilled water to cool the NIH campus.,Development and Acquisition,,,6/2/2023,hhs.caio@hhs.gov,In-house,Yes,
Natural Language Processing Tool for Open Text Analysis,NIH,National Institutes of Health (NIH) OD/ORF,This project will improve facility readiness and reduce downtime by allowing other software to analyze data that was locked away in open text.,Development and Acquisition,,,6/1/2023,hhs.caio@hhs.gov,In-house,Yes,
Contracts and Grants Analytics Portal,OIG,OIG,"The Contracts and Grants Analytics Portal uses AI to enhance HHS OIG staff's ability to access grants related data quickly and easily by: quickly navigating directly to the text of relevant findings across thousands of audits, the ability to discover similar findings, analyze trends, compare data between OPDIVs, and the means to see preliminary assessments of potential anomalies between grantees.",Operation and Maintenance,11/1/2017,6/1/2018,12/1/2018,hhs.caio@hhs.gov,Contracted,Yes,
Text Analytics Portal,OIG,OIG,"The text analytics portal allows personnel without an analytics background to quickly examine text documents through a related set of search, topic modeling and entity recognition technologies; Initial implementation's focus is on HHS-OIG specific use cases.",Implementation,2/1/2021,2/1/2021,9/1/2022,hhs.caio@hhs.gov,Contracted,Yes,
Amazon Lex and Amazon Polly for the Marketplace Appeals Call Center,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"CMS/OHI: Amazon Lex & Amazon Polly are used in conjunction with the Amazon Connect phone system (cloud based) for the Marketplace Appeals Call Center. Amazon Lex offers self-service capabilities with virtual contact center agents, interactive voice response (IVR), information response automation, and maximizing information by designing chatbots using existing call center transcripts. Amazon Polly turns text into speech, allowing the program to create applications that talk, and build entirely new categories of speech-enabled products.",Operation and Maintenance,,,,hhs.caio@hhs.gov,Contracted,Yes,
Feedback Analysis Solution (FAS),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"The Feedback Analysis Solution is a system that uses CMS or other publicly available data (such as Regulations.Gov) to review public comments and/or analyze other information from internal and external stakeholders. The FAS uses Natural Language Processing (NLP) tools to aggregate, sort and identify duplicates to create efficiencies in the comment review process. FAS also uses machine learning (ML) tools to identify topics, themes and sentiment outputs for the targeted dataset.  ",Operation and Maintenance,,,,hhs.caio@hhs.gov,,Yes,
Predictive Intelligence - Incident Assignment for Quality Service Center (QSC). ,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),Predictive Intelligence (PI) is used for incident assignment within the Quality Service Center (QSC). The solution runs on incidents created from the ServiceNow Service Portal (https://cmsqualitysupport.servicenowservices.com/sp_ess). The solution analyzes the short description provided by the end user in order to find key words with previously submitted incidents and assigns the ticket to the appropriate assignment group. This solution is re-trained with the incident data in our production instance every 3-6 months based on need.,Operation and Maintenance,,,,hhs.caio@hhs.gov,,Yes,
Fraud Prevention System Alert Summary Report Priority Score,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"This model will use Medicare administrative, claims, and fraud alert and investigations data to predict the likelihood of an investigation leading to an administrative action (positive outcome), supporting CMS in prioritizing their use of investigations resources. This analysis is still in development and the final model type has not been determined yet.",Development and Acquisition,,,,hhs.caio@hhs.gov,,Yes,
"Center for Program Integrity (CPI) Fraud Prevention System Models (e.g. DMEMBITheftML, HHAProviderML)",Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"These models use Medicare administrative and claims  data to identify potential cases of fraud, waste, and abuse for future investigation using random forest techniques. Outputs are used to alert investigators of the potential fraud scheme and associated providers.",Operation and Maintenance,,,,hhs.caio@hhs.gov,,Yes,
Priority Score Model - ranks providers within the Fraud Prevention System using logistic regression based on program integrity guidelines.,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"Inputs - Medicare Claims data, Targeted Probe and Educate (TPE) Data, Jurisdiction information
Output -  ranks providers within the FPS system using logistic regression based on program integrity guidelines.",Operation and Maintenance,,,,hhs.caio@hhs.gov,,Yes,
"Priority Score Timeliness - forecast the time needed to work on an alert produced by Fraud Prevention System (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)",Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"Inputs - Medicare Claims data, TPE Data, Jurisdiction information
Output -  forecast the time needed to work on an alert produced by FPS (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)",Operation and Maintenance,,,,hhs.caio@hhs.gov,,Yes,
CCIIO Enrollment Resolution and Reconciliation System (CERRS),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),CERRS AI for Classification,Operation and Maintenance,2/1/2018,2/1/2018,8/1/2018,hhs.caio@hhs.gov,Contracted,Yes,
Central Data Abstraction Tool-Modernized (Modernized-CDAT)- Intake Process Automation (PA) Tool,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"Intake PA uses advanced capabilities (NLP, OCR, AI, ML) to automate, modernize, and reduce manual efforts related to medical record review functions within MA RADV audits",Operation and Maintenance,8/19/2017,8/19/2017,4/1/2019,hhs.caio@hhs.gov,Contracted,Yes,
CMS Connect (CCN),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),CCN AI for Global Search ,Operation and Maintenance,2/27/2018,2/27/2018,7/23/2018,hhs.caio@hhs.gov,Contracted,Yes,
CMS Enterprise Portal Services (CMS Enterprise Portal-Chatbot),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),CMS Enterprise Portal AI for Process Efficiency Improvement| Knowledge Management,Operation and Maintenance,7/19/2019,2/28/2020,10/31/2020,hhs.caio@hhs.gov,Contracted,Yes,
