Use_Case_ID,Benefit Programs,Diplomacy and Trade,"Finance, Economy",Education and Workforce,Emergency Management,Energy,Environment and Natural Resources,General Admin,Grants,Health and Medical,Law and Justice,Science and Technology,Space,Transportation,Veteran Care and Services,Zoological,Mission-enabling,total_categories,Department_Code,Title
VA-0023-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text describes the MedSafe Clinical Decision Support system, which utilizes clinical data to provide evidence-based recommendations for primary care providers managing various health conditions such as diabetes, hypertension, and chronic kidney disease. It mentions the analysis of factors like comorbidities, lab results, medications, and adverse drug events to generate patient-specific recommendations. This clearly demonstrates the relevance of the theme as it involves the use of research, data, records, healthcare, medications, and potentially nutrition and safety aspects in managing and making informed decisions about patients' health.",,"The theme of ""Science and Technology"" is relevant in the text because it mentions the MedSafe Clinical Decision Support system. This system utilizes computer science and mathematics to analyze clinical data and generate evidence-based recommendations for primary care providers. It also incorporates elements of biology and pharmacology by considering factors such as comorbidities, lab results, medications, and adverse drug events. Therefore, the text demonstrates the application of science and technology in improving healthcare outcomes.",,,,,,0.0,VA,Medication Safety (MedSafe) Clinical Decision Support (CDS)
DOI-0014-2023,,,,,,,,,,,"The theme of ""Law and Justice"" is relevant in the text provided. The text mentions the implementation of AI and ML cloud services like SageMaker and Rekognition, which are used to provide tools and services for investigations. This indicates the use of technology in the field of law and justice, specifically in forensic investigations. The mention of machine learning and artificial intelligence approaches highlights the relevance of the theme by showcasing the integration of advanced technologies in the pursuit of law and justice.","The theme ""Science and Technology"" is relevant in the text above. The text mentions the implementation of AI (Artificial Intelligence) and ML (Machine Learning) cloud services like SageMaker and Rekognition. These technologies are examples of computer science and are used to provide cloud-based tools and services for investigations using machine learning or artificial intelligence approaches. This demonstrates the relevance of the theme ""Science and Technology"" in the text.",,,,,,0.0,DOI,DO NOT USE (21st Century IMT Applicaitons Analysis AIML)
HHS-0029-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text mentions the Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion, which indicates a focus on health and medical issues. The division is specifically interested in using natural language processing and machine learning to make policy surveillance more efficient. This implies a connection to research, data, and potentially records in the field of healthcare. The text also mentions the division working with a contractor to compare machine learning with traditional methods, indicating an involvement in research and data analysis. Therefore, the theme is relevant in this text.",,,,,,,,0.0,HHS,Identifying state and local policy provisions that promote or inhibit creating healthy built environments
HHS-0133-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because it discusses NLM-Gene, an automatic tool developed by the National Library of Medicine (NLM) to assist in the manual gene indexing process in PubMed articles. This tool is specifically designed for biomedical literature, which falls under the healthcare and medical research category. The text also mentions that the tool's performance has been evaluated on gold-standard datasets, indicating its relevance to research and data analysis in the field of health and medical sciences. Additionally, the integration of NLM-Gene into the production MEDLINE indexing pipeline highlights its significance in organizing and maintaining medical records and data.",,"The theme ""Science and Technology"" is relevant in the given text. The text mentions NLM-Gene, an automatic tool developed by NLM (National Library of Medicine) that uses advanced natural language processing and deep learning methods to find gene names in biomedical literature. This falls under the field of computer science and technology, specifically in the area of natural language processing and deep learning. The tool's integration into the production MEDLINE indexing pipeline also involves the use of technology and computer science.",,,,,,0.0,HHS,NLM-Gene: towards automatic gene indexing in PubMed articles
HHS-0134-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text mentions the NLM (National Library of Medicine) developing an automatic tool called NLM-Chem to assist in the manual process of chemical indexing in PubMed articles. This tool utilizes advanced natural language processing and deep learning methods to find chemical names in biomedical literature. This demonstrates the relevance of research and data in the field of healthcare, specifically in the context of chemical indexing in medical articles. Furthermore, the mention of integrating this tool into the production MEDLINE indexing pipeline implies its importance in maintaining accurate and comprehensive records in the field of healthcare.",,"The theme ""Science and Technology"" is relevant in the text because it discusses the use of advanced natural language processing and deep learning methods in the development of the NLM-Chem tool. This tool is specifically designed to assist in the manual process of chemical indexing in PubMed articles, which falls under the domain of materials science and chemistry. Therefore, the text is relevant to the theme.",,,,,,0.0,HHS,NLM-Chem: towards automatic chemical indexing in PubMed articles
DOE-0021-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text. The text specifically mentions research in model architecture development for AI/ML (Artificial Intelligence/Machine Learning) and other software advances. This falls under the domain of Computer Science and involves the application of Mathematics & Statistics in optimizing algorithms and enhancing performance. Additionally, advancements in AI/ML can have implications in fields such as Cybersecurity, Materials Science, Physics & Engineering, and Biology. Therefore, the theme of Science and Technology is relevant to the text.",,,,,,0.0,DOE,AI/ML and other software advances
HHS-0121-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text because it mentions cybersecurity monitoring and auditing. This indicates the use of technology and scientific methods in monitoring and analyzing system logs for cybersecurity purposes.",,,,,,0.0,HHS,Splunk IT System Monitoring Software
GSA-0006-2023,,,,,,,,,,,,"The theme of ""Science and Technology"" is relevant in the given text. The implementation of intelligent data capture and extraction in GSA's document workflow platform involves the use of computer science and technology. This process requires the application of computer algorithms and techniques to capture and transfer data from structured and unstructured documents, including PDF files. The use of advanced technologies and techniques in this context aligns with the theme of science and technology.",,,,,"The theme ""Mission-enabling"" is relevant in the given text because it mentions the implementation of intelligent data capture and extraction to improve the document workflow platform of GSA. This falls under the category of Information and Communications Technology (ICT) and can be seen as a means to enable the mission of GSA by enhancing their administrative processes and efficiency in handling important data.",0.0,GSA,Document Workflow / Intelligent Data Capture and Extraction
DOC-0030-2023,,,,,,,,,,,,"The theme of ""Science and Technology"" is relevant in the text above because it mentions the use of machine learning classifier to create detailed maps of solar features from the GOES-16 Solar Ultraviolet Imager. This demonstrates the application of computer science and technology in analyzing and interpreting data from remote sensing devices like the SUVI. Additionally, the mention of future releases improving these files indicates ongoing advancements in the field of science and technology.",,,,,,0.0,DOC,SUVI Thematic Maps
DHS-0035-2023,,,,,,,,,,,"The theme ""Law and Justice"" is relevant in the text because it discusses the USCIS (United States Citizenship and Immigration Services) using the Identity Match Option (IMO) process to ensure proper immigration procedures. The process helps create a single identity for each applicant or beneficiary across multiple systems, allowing analysts to view an individual's immigration history, detect fraud, and resolve data quality issues. This demonstrates how the USCIS is utilizing technology and data analysis to ensure the enforcement of immigration laws and maintain justice in the immigration system.",,,,,,,0.0,DHS,Identity Match Option (IMO) Process with DBIS Data Marts
DOS-0030-2023,,,,,,,,,,,,,,,,,,0.0,DOS,Louvain Community Detection
HHS-0007-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text as it discusses the development of AI-based algorithms by Philips for their Lumify handheld ultrasound system. These algorithms are specifically designed to detect traumatic injuries caused by burns and blasts. The integration of artificial intelligence in healthcare technology aims to enhance the accuracy and efficiency of diagnosis, ultimately enabling healthcare professionals to quickly identify and treat such injuries.",,The theme of Science and Technology is relevant in the text. The text mentions that Philips has developed AI-based algorithms for its Lumify handheld ultrasound system. This development combines the fields of computer science and artificial intelligence to enhance the accuracy and efficiency of diagnosis in healthcare. It falls under the theme of Science and Technology as it represents the application of computer science and technology in the medical field.,,,"The theme ""Veteran Care and Services"" is relevant in the text because the AI-based algorithms developed by Philips for the Lumify handheld ultrasound system can be used to detect traumatic injuries caused by burns and blasts. This technology can be beneficial in providing efficient healthcare services and diagnosis for veterans who may have suffered such injuries.",,,0.0,HHS,Burn & Blast MCMs: Philips
DOL-0009-2023,,,,,,,,,,,,,,,,,,0.0,DOL,Official Document Validation
DOI-0037-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the given text because it discusses the use of data mining techniques in TMDL (Total Maximum Daily Load) investigations to analyze hydrologic data. TMDL investigations are conducted to assess and manage pollutants in water bodies, which directly relates to water resource management and research. Therefore, the text is relevant to the theme.",,,,,"The theme of ""Science and Technology"" is relevant in the given text as it mentions the use of data mining techniques, specifically artificial neural network models, in TMDL (Total Maximum Daily Load) investigations to analyze hydrologic data. This application of computer science and mathematics in analyzing and predicting the impact of pollutants on water bodies demonstrates the relevance of the theme in the text.",,,,,,0.0,DOI,TMDL and Data Mining Investigations
HHS-0071-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because the project focuses on monitoring the safety of marketed drugs, which falls under the category of healthcare and medicines. The project also mentions the use of natural language processing and data mining, which are research methods related to the theme. Additionally, the goal of identifying patterns of detection within the first 3 years of marketing novel drugs relates to research and data analysis in the field of healthcare.",,"The theme ""Science and Technology"" is relevant in the text above. The project involves the use of natural language processing and data mining, which are techniques used in computer science and technology. The project also aims to develop new tools and methods, which can be related to advancements in technology and scientific research.",,,,,,0.0,HHS,Application of Statistical Modeling and Natural Language Processing for Adverse Event Analysis
VA-0008-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because it mentions the Digital Command Center, which is a system designed to gather and analyze all data within a medical center. This system can be used to research and analyze various aspects of healthcare, such as patient records, healthcare outcomes, and medication usage. It also mentions the use of predictive and prescriptive analytics, which can be applied to improve the overall performance of hospitals and ultimately enhance patient care and safety.",,,,,,,,0.0,VA,Digital command center
DOL-0003-2023,,,,,,,,,,,,"The theme of ""Science and Technology"" is relevant in the text because it discusses the use of neural networks and natural language processing models to convert written text into spoken words. This falls under the field of computer science and artificial intelligence.",,,,,,0.0,DOL,Text to Speech Conversion
DOE-0084-2023,,,,,,"The theme ""Energy"" is relevant in the text because it discusses the optimization of heat rate in a coal power plant. The use of dynamic neural network optimization (D-NNO), machine learning, and the development of a dynamic model all relate to improving the energy efficiency and operational effectiveness of the power plant. This aligns with the broader theme of energy and the exploration of advanced technologies to enhance energy production.",,,,,,,,,,,,0.0,DOE,To deploy dynamic neural network optimization to minimize heat rate during ramping for coal.
DOE-0171-2023,,,,,,,,,,,,,,,,,,0.0,DOE,Managing curb allocation in cities
USDA-0001-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the given text. Specifically, remote sensing and mapping techniques are utilized to detect citrus trees infected with HLB (Huanglongbing) before visible symptoms appear. Multispectral and thermal imagery are analyzed, and specific pixels are identified that indicate HLB infection. This application of remote sensing technology and image analysis demonstrates the relevance of Science and Technology in the context of agricultural disease detection.",,,,,,0.0,USDA,Detection of pre-symptomatic HLB infected citrus
HHS-0091-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because it mentions the Emerging Chemical Hazard Intelligence Platform (ECHIP), which is an AI solution that identifies potential chemical hazards. Chemical hazards can have negative health effects, so identifying them quickly and efficiently is important for public health and safety. Additionally, the text mentions that ECHIP uses data from scientific literature, which can include research on the health effects of chemicals.",,"The theme ""Science and Technology"" is relevant in the provided text. The text discusses the Emerging Chemical Hazard Intelligence Platform (ECHIP), which is an AI solution that utilizes data from various sources, including scientific literature. This involves the use of computer science and artificial intelligence techniques to automatically review and analyze data. By employing these technologies, ECHIP can effectively identify potential chemical hazards and stakeholder concerns, reducing the time required for signal detection and validation. Therefore, the text demonstrates the relevance of science and technology, specifically computer science and AI, in the context of hazard detection and analysis.",,,,,,0.0,HHS,Emerging Chemical Hazard Intelligence Platform (ECHIP - completed)
DOE-0155-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the given text. The text mentions the utilization of AI/ML (Artificial Intelligence/Machine Learning) in the future to speed up the processing of sensor data from a sensor network. This application of AI/ML falls under the domain of Computer Science and involves the use of advanced algorithms and techniques to analyze and interpret large amounts of data. The purpose of utilizing AI/ML in this context is to identify and predict risks and failures in plugged wells, which aligns with the field of Remote Sensing and Earth Science. Therefore, the text is relevant to the theme of Science and Technology.",,,,,,0.0,DOE,"With sensor technologies and network developed, in the future, AI/ML may be used to accelerate data processing of sensor data from the sensor network."
HHS-0088-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text mentions that the AI Analyst platform transcribes clinical study data into reports to assess the evidence supporting drug labeling. This implies that the platform is used in the healthcare sector to analyze medical data and support the review of submissions related to drugs. Therefore, the text aligns with the theme of healthcare, research, and data analysis in the medical field.",,"The theme of Science and Technology is relevant in the text as it mentions the AI Analyst platform, which utilizes artificial intelligence technology to transcribe clinical study data and assess the evidence supporting drug labelling. This platform incorporates computer science and mathematics/statistics principles to mimic the thinking process of subject matter experts. It also mentions that the platform has been tested with numerous submissions and clinical trials, indicating its application in the field of research and data analysis.",,,,,,0.0,HHS,Clinical Study Data Auto-transcribing Platform (AI Analyst) for Generating Evidence to Support Drug Labelling
DOI-0022-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the text above because it discusses the prediction of groundwater quality and its impact on surface water. This falls under the category of Water Resource Management & Research, as it involves assessing water availability and incorporating groundwater salinity and nutrient concentrations into comprehensive assessments.",,,,,,,,,,,0.0,DOI,WRA.NWC.IWAA National Extent Hydrogeologic Framework for NWC
DHS-0017-2023,,,,,,,,,,,,,,,,,"The theme ""Information and Communications Technology (ICT)"" is relevant in the text. This is because the text describes a process that utilizes analytics and natural language processing (ICT tools) to automatically detect potential personally identifiable information (PII) in submissions. Additionally, the text mentions privacy experts overseeing the process, which could involve the use of ICT systems to ensure compliance with privacy requirements and maintain the integrity and trust in the system.",0.0,DHS,Automated Indicator Sharing (AIS) Automated PII Detection
USDA-0003-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the given text because it discusses the detection and management of aquatic weeds in water bodies. Aquatic weeds fall under the category of vegetation, which is a part of the natural environment. Managing and controlling the growth of these weeds is necessary to maintain the health of ecosystems and water quality, which are important aspects of environmental conservation.",,,,,,,,,,,0.0,USDA,Detection of aquatic weeds
USDA-0009-2023,,,,,,,,,,,,,,,,,,0.0,USDA,4% Repair Dashboard
HHS-0100-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because it discusses the importance of predicting the placental permeability of drugs during pregnancy in order to ensure fetal safety. It also mentions using predictive models for drug transportation across the placenta, which falls under the topic of healthcare and medicines. Additionally, the text refers to conducting blind test sets and empirical assessments, which can be considered as research and data collection methods. Therefore, the theme is relevant in this text.",,,,,,,,0.0,HHS,Predictive toxicology models of drug placental permeability using 3D-fingerprints and machine learning
DOE-0124-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text because it mentions the use of machine learning, which falls under the field of computer science. Machine learning is being utilized to analyze and generate new data, which in turn improves the accuracy of geologic carbon storage assessments.",,,,,,0.0,DOE,"To leverage disparate data to update assessments, analytics, and infromation for NATCARB and CS Atlas"
NASA-0025-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the text. Specifically, the use of deep learning algorithms and the analysis of satellite images to estimate the windspeed of a hurricane aligns with the fields of computer science, remote sensing, and potentially even physics and engineering. The application of these scientific and technological concepts in the development of the web tool demonstrates the relevance of the theme.",,,,,,0.0,NASA,Deep Learning-based Hurricane Intensity Estimator
USDA-0002-2023,,,,,,,,,,,,,,,,,,0.0,USDA,High throughput phenotyping in citrus orchards
HHS-0140-2023,,,,,,,,,"The theme ""Grants"" is relevant in the text above. The text describes a front-end application that is specifically designed for processing and classifying grant information related to HIV. It mentions that the tool allows scientific staff to input grant information and automatically classifies them using an algorithm. This demonstrates the relevance of the theme ""Grants"" as it directly relates to the processing and awarding of grants. Additionally, the text mentions the inclusion of interactive data visualization, such as a heat map, which can help in visually displaying the predicted grants. Overall, the text provides a clear connection to the theme ""Grants"" and its different aspects.","The theme ""Health and Medical"" is relevant in the text above. The text mentions the HIV-related grant classifier tool, which is a tool used in the medical field to input grant information and classify them using an algorithm. This tool is used by scientific staff, indicating its relevance to the healthcare sector. Additionally, the text mentions the inclusion of interactive data visualization, such as a heat map, which can be used in the analysis and research of healthcare data. Therefore, the theme is relevant as it pertains to research, data, and healthcare.",,"The theme ""Science and Technology"" is relevant in the given text. The text mentions the use of computer science and programming, specifically using the Python library Plotly, to develop a front-end application for classifying HIV-related grants. This involves applying an algorithm to automatically classify grant information. Additionally, the text mentions the use of interactive data visualization, which falls under the domain of computer science and technology.",,,,,,0.0,HHS,HIV-related grant classifier tool
NARA-0004-2023,,,,,,,,,,,,"The theme of ""Science and Technology"" is relevant in the given text. Specifically, the use of AI techniques in the Freedom of Information Act (FOIA) Discovery AI Pilot involves the application of computer science and mathematics/statistics to improve the response to FOIA requests. The AI system mentioned in the text utilizes content similarity to enhance the search technique, which can be attributed to computer science and data analysis. Additionally, the system also employs techniques to redact personal information and additional details, which could involve concepts from cybersecurity and remote sensing to ensure privacy and data protection.",,,,,"The theme ""Administrative (records, travel, FOIA)"" is relevant in the given text. The text specifically mentions the Freedom of Information Act (FOIA) and the AI pilot program aims to use AI techniques to enhance the response to FOIA requests. This falls under the administrative aspect of managing FOIA requests and information.",0.0,NARA,Freedom of Information Act (FOIA) Discovery AI Pilot
HHS-0077-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text. The text specifically mentions the development of algorithms to improve the assessment of mortality in observational data sources by linking them with electronic health records (EHRs). This relates to research and data in the healthcare field. The algorithms can also be used to supplement death ascertainment in claims data, which is relevant to healthcare records. Additionally, the text mentions using publicly available data and healthcare system information to detect the date of death and estimate the cause of death, which falls under the categories of healthcare and public health.",,,,,,,,0.0,HHS,Augmenting date and cause of death ascertainment in observational data sources
HHS-0052-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text above because it mentions the utilization of artificial intelligence (AI) in the Federally Facilitated Marketplaces (FFM). AI is a field within computer science that involves the development of intelligent machines that can perform tasks that typically require human intelligence. In this case, AI is used for tasks such as anomaly detection and correction, classification, and forecasting and predicting time series data. This demonstrates the relevance of computer science and technology in the context of the FFM operations, as it helps improve efficiency and accuracy in decision-making processes.",,,,,,0.0,HHS,Federally Facilitated Marketplaces (FFM)
HHS-0099-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text above because it discusses the use of molecular similarity in drug development and toxicology. It specifically mentions predicting adverse drug reactions and uncovering unknown mechanisms of toxicity, which are important aspects of healthcare and medical research.",,"The theme of ""Science and Technology"" is relevant in the text above. The text discusses the use of molecular similarity as a tool in drug development and toxicology. This involves the application of computer science, mathematics, and statistics to predict adverse drug reactions. The mention of three-dimensional fingerprints encoding structural and functional similarities between molecules also relates to the field of computer science and technology. Therefore, the text is relevant to the theme.",,,,,,0.0,HHS,Prediction of adverse events from drug - endogenous ligand - target networks generated using 3D-similarity and machine learning methods.
DOE-0131-2023,,,,,,,,,,,,,,,,,,0.0,DOE,To provide integrated boiler management through advanced condition monitoring and component assessment.
DOE-0115-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the given text. The text mentions the use of AI (Artificial Intelligence) and ML (Machine Learning) technologies, which are part of the field of Computer Science. These technologies are used to automate the collection and processing of data from multiple sources. This relates to the theme of Computer Science and the application of technology in data analysis.",,,,,,0.0,DOE,"To help automate data discovery and preparations to support a range of CS models, tools, and products"
HHS-0000-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the text through the mention of computer science and natural language processing. The use of the phone IVR system operated by OneReach AI showcases the application of computer science in creating an automated system for connecting callers to the appropriate hotline. Additionally, the mention of natural language processing highlights the use of technology to analyze and respond to user queries. These elements demonstrate the role of science and technology in enhancing communication and efficiency in the Information Gateway hotline system.",,,,,"The theme ""Information and Communications Technology (ICT)"" is relevant in the text above. The text mentions the use of an IVR system operated by OneReach AI, which connects callers to the appropriate hotline based on their phone area code. Additionally, OneReach provides a texting service that uses natural language processing to respond to user queries. These technologies fall under the ICT category, which is a mission-enabling theme.",0.0,HHS,Information Gateway OneReach Application
VA-0004-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because it discusses how artificial intelligence can be used in the field of healthcare. Specifically, it mentions how artificial intelligence can assist health professionals in evaluating lung function and sleep parameters. This technology can help identify factors that indicate normal or abnormal lung function and provide valuable insights for diagnosing and monitoring lung diseases. Therefore, the text aligns with the theme by highlighting the use of technology in the medical field to improve respiratory health.",,"The theme of Science and Technology, particularly in the field of Artificial Intelligence, is relevant in the text. The text mentions how artificial intelligence can assist health professionals in evaluating lung function and sleep parameters. This application of technology in the medical field helps identify factors that indicate normal or abnormal lung function and aids in assessing respiratory health. Therefore, the theme of Science and Technology is relevant in this context.",,,,,,0.0,VA,Assessing lung function in health and disease
HHS-0106-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in this text as it discusses the need for research and data analysis to identify and analyze sex differences in prescription opioid use-related cardiovascular risks. It specifically mentions the use of big data methods and AI-related tools to develop a statistical model and detect safety signals. The research aims to contribute to healthcare by identifying sex-dependent differences in risk factors for cardiotoxicity and potentially help the FDA and physicians prevent or reduce the risk of drug-induced cardiovascular disease in women.",,"The theme of ""Science and Technology"" is relevant in the given text. The text mentions the use of big data methods and AI-related tools to develop a statistical model for detecting safety signals in prescription opioid use (POU) and identifying sex-dependent differences in risk factors for cardiotoxicity. This indicates the use of computer science, mathematics & statistics, and potentially cybersecurity in analyzing the data and developing the model. Additionally, the research aims to help prevent or reduce the risk of POU drug-induced cardiovascular disease in women, which involves understanding biology and potentially materials science, physics & engineering, and earth science related to cardiovascular health. Therefore, the theme is relevant in this text.",,,,,,0.0,HHS,Identification of sex differences on prescription opioid use (POU)-related cardiovascular risks by big data analysis
DOI-0018-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the text because it discusses the study's objective of investigating the effects of converting drained row crops to flooded rice production on Twitchell Island in the Sacramento-San Joaquin Delta. This study is focused on assessing the water quality effects, specifically MeHg (methylmercury) production, under different rice management practices such as tillage, flooding, and fertilization. Therefore, it directly relates to the theme of Water Resource Management & Research and Air Quality/Pollution, as it aims to understand the impact of agricultural practices on water quality and potential pollution.",,,,,"The theme ""Science and Technology"" is relevant in the text. Specifically, the text mentions that a study led by UC Davis and in collaboration with UC Berkeley, the USGS, and private consultants will investigate the effects of converting drained row crops to flooded rice production on Twitchell Island in the Sacramento-San Joaquin Delta. The USGS's research objective is to assess the water quality effects, specifically MeHg production, under different rice management practices such as tillage, flooding, and fertilization, and determine the relative methylation potential of each practice. This study involves scientific research and technology to assess the effects of changing agricultural practices on water quality.",,,,,,0.0,DOI,Twitchell Rice AFRI
DOE-0075-2023,,,,,,"The theme ""Energy"" is relevant in the text as it discusses a project that aims to improve oil recovery in carbonate formations. This falls under the category of technology/supply in the energy sector. The use of machine learning and data analytics to predict reservoir properties and optimize CO2 flood composition demonstrates the application of technology in the energy industry. The project's goal of improving oil recovery aligns with the theme of energy as it aims to enhance the efficiency and productivity of oil extraction.",,,,,,"The theme ""Science and Technology"" is relevant in the text. The project mentioned in the text involves the use of machine learning and data analytics, which are part of the field of computer science. The project also mentions laboratory experiments to optimize a CO2 flood composition, which falls under the realm of materials science. The goal of the project, improving oil recovery in carbonate formations, also involves principles from physics and engineering. Therefore, the text is relevant to the theme ""Science and Technology.",,,,,,0.0,DOE,To apply machine learning and data analytics techniques to integrated subsurface datasets to predict key reservoir properties and compare various fields across the area of study and to correlate vintage data with new data and address the distribution of fractures and vugs.
HHS-0042-2023,,,,,,,,,,,,,,,,,,0.0,HHS,Feedback Analysis Solution (FAS)
DOE-0060-2023,,,,,,"The theme ""Energy"" is relevant in the provided text as it discusses the use of ML-based proxy models and multi-level data driven fracture network imaging to enhance decision making in the field of energy production. These models take into account factors such as fracture network, HF (hydraulic fracture) geometry and properties, bottomhole pressure, and drainage volume to generate accurate predictions for production forecast and well drainage volume. This demonstrates the application of technology and research in the energy sector to optimize and improve energy extraction processes.",,,,,,"The theme ""Science and Technology"" is relevant in the text above. It mentions the use of ML-based proxy models, which falls under Computer Science. Additionally, the text refers to fracture network imaging, which can be related to Remote Sensing and Mapping. Furthermore, it mentions factors such as HF properties and bottomhole pressure, which are relevant to Physics & Engineering. Therefore, the text aligns with various aspects of the theme.",,,,,,0.0,DOE,ML-based proxy models and multi- level data driven fracture network imaging to support rapid decision making.
HHS-0130-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text above because it discusses PubMed, a search engine for biomedical literature. PubMed is a crucial tool for medical research and provides access to a vast amount of health-related information. The introduction of the new relevance search algorithm called Best Match is also relevant to the theme as it aims to help users find the most relevant papers for their queries in the field of healthcare and medical research.",,"The theme ""Science and Technology"" is relevant in the given text. The text mentions that PubMed, a search engine for biomedical literature, has introduced a new relevance search algorithm called Best Match. This algorithm utilizes machine-learning technology, which falls under the category of computer science. The use of machine learning helps users find the most relevant papers for their queries, which exemplifies the application of technology in the field of biomedical research. Therefore, the text is relevant to the theme ""Science and Technology.",,,,,,0.0,HHS,Best Match: New relevance search for PubMed
DOS-0003-2023,,,,,,,,,,,,The theme of Science and Technology is relevant in the given text. The text mentions the development of AI/ML models to detect suspicious activity in the Integrated Logistics Management System. This involves the use of computer science and technology to analyze and process data in order to identify potential fraud or malfeasance in key supply chain functions.,,,,,"The theme ""Mission-enabling"" is relevant in the text above because it involves the development of AI/ML models to detect suspicious activity in the Integrated Logistics Management System. This falls under the theme of Information and Communications Technology (ICT) as it involves leveraging technology to improve the efficiency and effectiveness of supply chain functions. Additionally, the focus on identifying potential fraud or malfeasance aligns with the theme of Safety & Security as it aims to ensure the integrity and trustworthiness of the system.",0.0,DOS,Supply Chain Fraud and Risk Models
DOE-0170-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the text because it discusses how laboratory automation utilizes machine learning to improve productivity and efficiency in laboratory operations. This involves the use of computer science and technology, specifically in the field of machine learning, to automate data acquisition in scanning electron microscope (SEM) and transmission electron microscope (TEM) data. Therefore, this text demonstrates the application of computer science and technology in the field of laboratory automation.",,,,,,0.0,DOE,Laboratory Automation
DOE-0055-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text because it mentions the utilization of machine learning. Machine learning is a field within computer science that uses statistical techniques to enable computers to learn and make predictions or decisions without being explicitly programmed. In this context, machine learning is being used to detect patterns and attributes related to well integrity problems in legacy wells. This demonstrates the application of computer science and data analysis techniques to solve real-world problems in the field of oil and gas industry.",,,,,,0.0,DOE,Machine learning for legacy well evaluation
HHS-0097-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text as it discusses concerns about bias in AI systems used for natural language processing of drug labeling documents. This directly relates to the theme as it involves healthcare (drugs), research (evaluating AI models), data (drug labeling documents), and safety (mitigating bias risks).",,"The theme of Science and Technology is relevant in the given text. The text discusses concerns about bias in AI systems, which falls under the domain of Computer Science. The mention of natural language processing, AI models, and the need to evaluate and mitigate bias all relate to the field of Computer Science and its application in the context of drug labeling documents. Therefore, the theme of Science and Technology is relevant in this text.",,,,,,0.0,HHS,Assessing and mitigating bias in applying Artificial Intelligence (AI) based natural language processing (NLP) of drug labeling documents
DOE-0138-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the text. Specifically, the text mentions the use of data analytics and machine learning techniques to enhance knowledge about the characteristics of the Emerging Paradox Oil Play. This falls under the field of computer science and the application of technology in analyzing and interpreting geological and seismic data. Additionally, the integration of geologic and log-derived models with 3D seismic data demonstrates the use of mathematics and statistics in understanding the Paradox oil play.",,,,,,0.0,DOE,To use data analytics and machine learning techniques to advance understanding of the characteristics of the Emerging Paradox Oil Play
HHS-0156-2023,,,,,,,,,,,,,,,,,,0.0,HHS,Text Analytics Portal
