Title,Agency,Summary,Development Stage,Techniques
"ML-based reduced order models of 
reservoir response to Co2 injection 
into saline and/or hydrocarbon-
bearing formations - as the basis for 
integrated assessment modeling of 
leakage risk (e.g., SACROC)","National Energy Technology 
Laboratory","Generally, the approach used by NRAP researchers to address these 
questions is to develop a robust, science-based integrated assessment 
framework that links fast forecasting models of CO2 storage system 
components (e.g., storage reservoir; leakage pathways including wells, 
faults, and fractured caprock; intermediate formations; and receptors of 
concern, including groundwater aquifers and the atmosphere). 
Superimposed on this system model are various fit-for-purpose 
analytical capabilities that support analyses in support of stakeholder 
decision making for questions related to site-specific risk evolution, risk-
based area of review delineation, conformance assessment, and post-
injection site monitoring
In Task 2.0, researchers will augment and expand this functionality to 
demonstrate relevance to industry-standard site risk management 
methods (i.e., bowtie analysis framework) and to understand 
containment performance and leakage risk for scenarios where a site 
transitions from CO2 utilization for EOR to dedicated CO2 storage. To 
ensure that risk assessment efforts are informative to real geologic 
storage deployment scenarios, NRAP researchers will engage with a 
diverse set of stakeholders to establish an appropriate modeling and 
risk assessment design basis.",,Other
"Natural and anthropogenic disaster 
prevention and mitigation","Lawrence Livermore National 
Laboratory","Leveraging a broad, multimodal data stream to predict and understand 
natural disaster scenarios for the purposes of prevention and mitigation",,
Natural Language Processing,"National Energy Technology 
Laboratory","Information and articles on energy storage will be gathered and 
reviewed. Developed natural language processing (NLP) algorithms will 
be used to help categorize and understand various energy storage 
efforts in the R&D communities. Additionally, trends within the 
discovered and selected topical focus areas in energy storage will be 
examined. This will provide a view of energy storage R&D, which is not 
biased or limited to known search terms.",,"Big Data, Natural 
Language 
Processing, Other"
"Neural networks used to 
compensate a drone-mounted 
magnetic sensor for maneuvering of 
the drone.","National Energy Technology 
Laboratory","Electromagnetic technology development and optimization for cased 
wells. Scalable solutions—getting to 100,000 wells/year through drone 
technology and ML technology. NETL will develop ML algorithms to 
compensate magnetic data for the maneuvering of drone aircraft. 
Magnetic noise can limit sensitivity of detection and resolution of 
anomalies in the magnetic data. The ML algorithms will reduce attitude- 
and heading-induced noise in drone magnetic surveys.",,"Neural Networks, 
Other"
"Next-Generation Beam Cooling and 
Control with Optical Stochastic 
Cooling",Fermi National Accelerator,"This program leverages the physics and technology of optical stochastic 
cooling (OSC) to explore new possibilities in beam control and sensing.  
The planned architecture and performance of a new OSC system at 
IOTA should enable turn-by-turn programmability of the high-gain OSC.  
This capability can then be used in conjunction with other hardware 
systems as the basis of an action space for reinforcement learning (RL) 
methods.  The program aims to establish a new state of the art in beam 
cooling and a flexible set of tools for beam control and sensing at 
colliders and other accelerator facilities.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
Online real time system Identification,"National Energy Technology 
Laboratory","Work will focus on using SI to monitor the condition of a power plant 
boiler at different process states. SI algorithms will be implemented 
within an MPC to provide continuous adaptability as the power plant 
ramps through the entire range of operating loads. Once the control 
algorithm has been developed to be effective on representative models, 
it will be tested on a high-fidelity commercial power plant simulator or on 
a real power plant facility. The online SI techniques will be tested on 
historical power plant data, dynamic models (including a power plant 
simulator), power generating equipment including laboratory pilot-scale 
power systems, and on power plants where feasible.",,"Artificial 
Intelligence, Big 
Data, Other"
"Physics-Informed Learning 
Machines for Multiscale and 
Multiphysics Problems (PhILMs)","Pacific Northwest National 
Laboratory","PhILMs investigators are developing physics-informed learning 
machines by encoding physics knowledge into deep learning networks",,
"Prediction of gasification gas yield 
and compositions using machine 
learning","National Energy Technology 
Laboratory","A machine learning (ML) model will be developed to aid in investigating 
and optimizing of gasification with various feedstocks like waste plastic, 
waste coal, biomass and MSW. Database on the gasification will be 
built from main resources of literature, prior experiments in NETL, and 
new generating experiments in NETL. Al/ML will be a part of the project. 
It combines with experimental study to accelerate development of 
gasification applying to variour feedstocks including waste plastics, 
waste coal, MSW and its mixture. The ML will have more impact as the 
big database will be built.",,"Big Data, Other"
"Quantum computing and information 
systems","Lawrence Livermore National 
Laboratory","Machine learning and quantum computing applied towards optimization, 
quantum chemistry, material science, and cryptography",,
"READS: Real-time Edge AI for 
Distributed Systems",Fermi National Accelerator,"This project will develop and deploy low-latency controls and prediction 
algorithms at the Fermilab accelerator complex",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"Reduce computational cost of CFD 
simulations that screen for more 
efficient intensified solvent contactor 
geometries.","National Energy Technology 
Laboratory","Collaborate with Subtask 4.3 Machine Learning Support to reduce the 
computational complexity of validated CFD calculations using Deeper 
Fluids (DF), graph neural networks (GNNs), or similar ML approaches. 
Further development of ongoing process modeling/optimization 
ultimately informed by the CFD reduced order models (ROM) will also 
be a focus.",,"Neural Networks, 
Other"
"Regional waste feedstock 
conversion to biofuels","Pacific Northwest National 
Laboratory","Unsupervised ML is used sequentially to group waste sources into 
different regions.  Calibrated game theoretic models are used to assess 
the behavior and economic viability of different waste-to-energy 
pathways within a region.",,
"Robotics, automation, and advanced 
manufacturing","Lawrence Livermore National 
Laboratory","AI is being used for accelerating hardware development and 
interpretation of sensor data to improve process reliability",,
Rokbase Geologic Core Data Tool,"National Energy Technology 
Laboratory","This project will develop the platform through which the DOE OGFL data 
are easily accessible, searchable, and described, enabling future R&D, 
sustainable resource planning, and responsible stewardship of the 
team’s national resources. NETL’s expertise in developing geo-data 
science, ML, visualization, online data mining and integration, and 
advanced analytics through scientific computing (including high 
performance computing and big data computing methods) and 
virtualized environments can be leveraged to support further intelligent 
analytics for offshore systems.",,"Neural Networks, 
Other"
"Scalable, Efficient and Accelerated 
Causal Reasoning Operators, 
Graphs and Spikes for Earth and 
Embedded Systems (SEA-CROGS)","Pacific Northwest National 
Laboratory","Establish a center for scalable and efficient physics-informed machine 
learning for science and engineering that will accelerate modeling, 
inference, causal reasoning, etiology and pathway discovery for earth 
systems and embedded systems. Advances will lead to a higher level of 
abstraction of operator regression to be implemented in next generation 
neuromorphic computers.",,
"Simulation-based inference for 
cosmology",Fermi National Accelerator,"This project will develop and use simulation-based inference to estimate 
cosmological parameters related to cosmic acceleration in the early and 
late universe — via the cosmic microwave background and strong 
gravitational lensing, respectively. This will produce an analysis pipeline 
that can be deployed for next-generation cosmic surveys.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
SMMM,"Brookhaven National 
Laboratory","AI/ML is being used to evaluate measurements in real-time during 
simultaneous experiments on two beamlines and then drive subsequent 
data collection on both of the beamlines to maximize the scientific value 
generated per time.",,
Soil Moisture Modeling,Office of Legacy Management,"Use multisource machine learning to model soil moisture within the 
lysimeter embedded within a disposal cell",,
"Solving Field Equations on the 
Wafer Scale Engine","National Energy Technology 
Laboratory","The intent is to develop a collocated, finite volume code to allow 
maximum mesh flexibility and support advanced CFD capabilities found 
in modern CFD codes like Fluent, OpenFOAM, and MFiX.
NETL will take a metered approach to development towards a fully 
reacting CFD capability on the WSE. EY22 will be filled with API 
capability expansions needed to support general purpose CFD 
applications, such as general purpose finite volume formulations, 
collocated grid capabilities (Rhie & Chow Interpolation), bit stuffing to 
save memory when dealing with cell types, general purpose boundary 
conditions, etc. In addition, the code will be benchmarked in a series of 
tests towards a fully reacting CFD capability that will support problems 
of interest to FECM.",,"Big Data, Other"
SONIC: AI acceleration as a service,Fermi National Accelerator,"This project focuses on integration of AI hardware for at-scale inference 
acceleration for particle physics experiments.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"Streamining intelligent detectors for 
sPHENIX/EIC",Fermi National Accelerator,"This project develops real-time algorithms for event filtering with tracking 
detectors for nuclear physics collider experiments.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"Surrogate models for probabilistic 
Bayesian inference","Pacific Northwest National 
Laboratory","We are using AI/ML to build surrogate models of the observable 
response of complex physical systems. These surrogate models will be 
used for probabilistic model inversion of these systems with the goal of 
estimating unknown model parameters from indirect observations.",,
"To  drive insights on the 
dependencies between the natural 
gas and electricity sectors to 
increase reliability of the NG system","National Energy Technology 
Laboratory","Commercially available models will be used to generate predictive 
scenarios",,Big Data
"To  drive insights on the power 
system reliability, cost, and 
operations during the energy 
transition with and without FECM 
technologies","National Energy Technology 
Laboratory","Commercially available models will be used to generate predictive 
scenarios",,Big Data
"To accelerate discovery of 
protection system and laser 
processing of protective coatings on 
CMC for hydrogen turbines.","National Energy Technology 
Laboratory","The objectives of this project are to design, process, and validate a 
laser-manufactured, integrated, and graded bond coat-environmental 
barrier coat-thermal barrier coat (BC-EBC-TBC) system that can 
effectively protect and lead to the use of Silicon Carbide fiber/Silicon 
Carbide (SiCf/SiC) matrix CMCs in next-generation hydrogen-fueled 
turbines.",,Artificial Intelligence Unknown
"To accurately predict alloy & 
component  performance  
extrapolated to  conditions where 
experimental results to do not exist.","National Energy Technology 
Laboratory","AI/ML will be used to  interrogate databases comprised of  experimental 
data,  literature data,  and  synthetic data generated improved physics 
based models  to generate reduced order models to accurate predict 
materials the performance of materials and components under extreme 
environments (temperature, atmosphere) and complex loading (cyclical, 
triaxial) for long service life durations.",,"Big Data, Other"
"To analyze data and derive insights 
and improve predictions to forecast 
wellbore kick events to reduce loss 
of control events.","National Energy Technology 
Laboratory","Use of neural networks and/or AI cluster data analysis methods to 
improve detection and forecasting of wellbore and drilling related loss of 
control events, known as kicks, to imrpove real-time detection and 
prediction of these conditions.",,"Neural Networks, 
Other"
"To apply machine learning 
applications to map carbon ore, rare 
earth element, and critical mineral 
resources","National Energy Technology 
Laboratory","To identify information gaps, GIS and machine learning applications will 
be used to map carbon ore, rare earth element, and critical mineral 
resource infrastructure, and market data in consultation with NETL 
geospatial modeling activities. Research needs and technology gaps will 
be assessed, and resources targeted for sampling and characterization. 
This effort will provide a complete Northern Appalachian carbon ore, 
rare earth element, and critical mineral value chain basinal assessment 
to enable quick development of commercial projects.",,Artificial Intelligence Unknown
"To apply machine learning and data 
analytics techniques to integrated 
subsurface datasets to predict key 
reservoir properties and compare 
various fields across the area of 
study and to correlate vintage data 
with new data and address the 
distribution of fractures and vugs.","National Energy Technology 
Laboratory","Laboratory experiments will be used to optimize a CO2 flood 
composition specific to HTD rock properties, and subsequently design 
and simulate injection scenarios that offer wettability alteration, foaming, 
and reduced surface tension. This work will improve oil recovery from 
matrix porosity and mitigate the impact of fracture zones. The optimized 
design will be implemented and tested in a Trenton/Black River field. 
The results will provide strategies to improve oil recovery in complex 
carbonate formations in the Michigan Basin as well as in other 
carbonate plays.",,"Artificial 
Intelligence, Big 
Data"
"To apply machine learning methods 
to explore the inter-well uncertainty 
in the Goldsmith Landreth San 
Andres Unit and to update reservoir 
models.","National Energy Technology 
Laboratory","Engineered water can lower interfacial tension and minimize capillary 
forces that gravity can push the oil up and out of the matrix. This 
proposal is to test this technology in the field scale, in Goldsmith 
Landreth San Andres Unit. Apply history matching of flexible interface-
based reservoir models and ML methods such as generative 
adversarial networks that provide new methods to explore the inter-well 
uncertainty and to update the reservoir models.",,Artificial Intelligence Unknown
"To automate development of proxy 
models for power generation 
combustion systems.","National Energy Technology 
Laboratory","Detailed CFD of large combustion systems will be performed.   From 
the results, machine learning will be used to develop fast proxy models 
which can will provide results close to the CFD results, but in a small 
fraction of the time.   These fast models will then be used in real-time 
digital twin models of the power plant, which can be used to help the 
power plant operator to spot instrumentation failures or cyberattacks on 
the plant.",,Other
"To automate RDE image analysis, 
machine learning for RDE image 
analysis is being employed.","National Energy Technology 
Laboratory","The expected outcome of this project will be extensive experimental 
data that can provide valuable insight in RDC design, coupling RDC with 
turbomachinery, model validation, and next generation combustion 
sensors that use artificial intelligence and computer vision.         Design 
of an optimized inlet to maximize pressure gain in an RDE relies on an 
understanding of the coupling between the inlet plenums (fuel and air), 
the combustor annular channel, and the exhaust diffusor. This creates a 
challenge for CFD as the models are significant and computationally 
expensive. NETL is continuing a collaboration with the University of 
Michigan to accelerate reacting flow CFD modeling using machine 
learning (ML).",,Other
"To build the first data analytics and 
artificial intelligence field laboratory 
for unconventional resources in the 
Powder River Basin, focusing on 
optimization of hydraulic fracture 
stimulations through the use of 
multiple diagnostic technologies.","National Energy Technology 
Laboratory","To establish a tight oil Field Laboratory in the Powder River Basin and 
accelerate the development of three major unconventional oil resources 
through detailed geologic characterization and improved geologic 
models leading to significant advances in well completion and fracture 
stimulation designs specific to these three formations. Utilize multi-
variate analysis to understand the interrelationship between completion 
and stimulation controls on well productivity.",,"Artificial 
Intelligence, Big 
Data"
"To create a data-driven multiscale 
phytotechnology framework for 
identification and remediation of 
leached-metals-contaminated soil.","National Energy Technology 
Laboratory","The project objectives are to integrate satellite remote sensing, machine 
learning and image processing, geological engineering models, and soil 
science and plant pathology to: 1) identify potential leaching of metals 
from coal ash impoundments (Phase I), and 2) propose locally 
adaptable phytoextraction approaches to remediate contaminated 
regions (Phase II).",,Artificial Intelligence Unknown
"To create and apply machine 
learning algorithms to predict carbon 
dioxide enhanced oil revoery 
improvements with rich gas in the 
Bell Creek Field and other selected 
fields.","National Energy Technology 
Laboratory","Create models with ML algorithms to predict CO2 EOR improvements 
with rich gas in the Bell Creek Field and other selected fields. The 
results of these models will be compared with the predictions of CMG’s 
reservoir simulations models.",,Artificial Intelligence Unknown
"To create reduced order models for 
predicting long term performance 
degradation behavior of fuel cells 
and electrolyzers.","National Energy Technology 
Laboratory","Machine learning algorithms are being used to analyze large datasets of 
microstructural and perfromance degradation simulations of various 
electrode microstructres to develop reduced order models that can be 
used for long-term perfromance degradation predictions of large area 
fuel cell/electrolysis cells and cell stacks. The reduced order models can 
be used for dynamic simulations that can more accurately mimic the 
changing loading conditions of the modern grid.",,"Big Data, Other"
"To demonstrate multi-gamma based 
sensor technology for as-fired coal 
property measurement","National Energy Technology 
Laboratory","Applying an advanced multigamma attenuation (MGA) sensor to 
accurately and precisely measure coal properties at the point of 
injection into burners.  
One research objective is to perform MGA testing and databases 
development for neural network developed fingerprinting of coal 
properties. This will include neural network refinement with MGA data 
and to upgrade Microbeam’s Combustion System Performance Indices 
(CSPI) – CoalTracker (CT) program with MGA-based neural network 
algorithms.",,"Artificial 
Intelligence, Neural 
Networks"
"To deploy dynamic neural network 
optimization to minimize heat rate 
during ramping for coal.","National Energy Technology 
Laboratory","The primary objective of the proposed work is to 1) deploy dynamic 
neural network optimization (D-NNO) to minimize heat rate during all 
phases of operation (ramping, low load, and high load) at a coal power 
plant. The project will build a high-fidelity, systems-level, dynamic model 
of the plant for a rapid prototyping environment for the D-NNO and to 
allow researchers to better understand the dynamic phenomena that 
occur during ramping and at various plant loads, and  Commercialize D-
NNO as a readily-available software application by working with an 
industry-proven software platform. The plant will be perturbed over time 
to allow machine learning (ML) models to be fitted to the plant’s 
response data.",,"Artificial 
Intelligence, Neural 
Networks"
"To design, develop, and 
demonstrate an AI-integrated 
physics-based attack resilient 
proactive system.","National Energy Technology 
Laboratory","Enable ""defense-in-depth"" cyber-physical system (CPS) security and 
resiliency for the distribution grid. The recipient will design, develop, and 
demonstrate a vendor-agonistic scalable Artificial Intelligence Integrated 
Attack-Resilient Proactive System (AI-ARPS) for utility distribution grid 
systems including advanced distribution management system (ADMS) 
and DER management system (DERMS) applications.",,Artificial Intelligence Unknown
"To design, proto-type and 
demonstrate a miniaturized 
implementation of a multi-process, 
high-spatial-resolution monitoring 
system for boiler condition 
management.","National Energy Technology 
Laboratory","Project will develop control logic for automated control of bituminous 
coal-fired boiler. Plant operational data will be compared against 
monitoring data to determine when different sensor output from a 
miniaturized high temperature multi-process, high-spatial-resolution 
monitoring system signifies damaging conditions in that region of the 
boiler, and what operational changes can be made to eliminate the 
damaging condition. The control logic will be developed for automated 
control of soot-blowing and other boiler operations",,
To detect leaks and creaks.,"National Energy Technology 
Laboratory","The relevant research has been focused on demonstrating applicability 
of novel machine learning based approaches to two major challenges 
associated with safe management of large-scale geologic CO2 storage 
operations, early detection of leaks (i.e., by detecting small leaks) and 
early detection of induced seismicity (i.e. by detecting small seismic 
signals).",,Artificial Intelligence Unknown
"To develop 5G integrated edge 
computing platform for efficient 
component monitoring in coal-fired 
power plants","National Energy Technology 
Laboratory","Develop an on-demand distributed edge computing platform to gather, 
process, and efficiently analyze the component health data in coal-fired 
power plants. Given that edge computing servers are closer to the field 
devices in modernized power plants, the efficiency of edge computing 
service with respect to dynamic orchestration, resource data collection, 
and health information monitoring will be investigated for timely detection 
of remote faults and to perform diagnosis.",,Big Data
"To develop a deep-learning Artificial 
Intelligence model for analysis of 
fundamental combustion 
characteristics","National Energy Technology 
Laboratory","A deep-learning Artificial Intelligence model will be pursued for rapid 
analysis of detailed fundamental combustion characteristics that support 
the design and troubleshooting process of H2-containing fuel combustor 
development.",,"Artificial 
Intelligence, Neural 
Networks"
"To develop a general drag model for 
assemblies of non-spherical 
particles created with artificial neural 
networks","National Energy Technology 
Laboratory","The project plans to develop a more accurate artificial neural network 
(ANN)-based method for modeling the momentum exchange in fluid-
solid multiphase mixtures to significantly improve the accuracy and 
reduce the uncertainty of multiphase numerical codes and, in particular, 
of MFiX, by developing and providing a general and accurate method for 
determining the drag coefficients of assemblies of non-spherical 
particles for wide ranges of Reynolds numbers, Stokes numbers, and 
fluid-solid properties and characteristics. The research team will achieve 
this goal by conducting numerical computations with a validated in-
house CFD code and using artificial intelligence methods to develop an 
ANN that will be implemented in TensorFlow and linked with the MFiX 
code.",,"Artificial 
Intelligence, Neural 
Networks"
"To develop a novel platform for 
secure data logging and processing 
in fossil fuel power generation 
systems using blockchain and 
machine learning to reduce down 
time for fossil energy power plants, 
limit reductions of power and reduce 
cost for repairs.","National Energy Technology 
Laboratory","Machine learning model development will consist of traditional machine 
learning and deep learning algorithms implementation for anomaly 
detection.  Machine learning server will be used to develop the 
traditional models using One-Class Support Vector Machine (SVM) and 
K-Mean Clustering and deep learning models using Recurrent Neural 
Network (RNN) and its various implementations like Long Short-Term 
Memory (LSTM), Gated Recurrent Unit (GRU), Generative Adversarial 
Network (GAN), and Autoencoders using the sensor data collected from 
secure sensor network.",,"Artificial 
Intelligence, Neural 
Networks"
"To develop a wireless, distributed 
data acquisition and interpretation 
system foe seismic monitoring and 
carbon storage characterization.","National Energy Technology 
Laboratory","Resensys plans to develop a wireless, distributed data acquisition and 
interpretation system tailored for monitoring and characterization of 
seismic activity at carbon storage sites.  The seismicity data collected in 
real time during the CO2 storage site characterization and sequestration 
processes combined with advanced signal processing and Artificial 
Intelligence and Machine Learning (AI/ML) methodologies provide an 
understanding of natural seismicity risks prior to any CO2 injection, prior 
to making large investments in developing the storage project.",,Artificial Intelligence Unknown
"To develop an AI-driven integrated 
autonomous robotic visual 
inspection (RVI) platform.","National Energy Technology 
Laboratory","The overall objective of the research is to develop an AI-driven 
integrated autonomous robotic visual inspection (RVI) platform that can 
perform real-time defect identification, dynamic path planning, and safe 
navigation in a closed-loop manner. The",,"Artificial 
Intelligence, 
Robotic Processing 
Automation (RPA)"
"To develop an Artificial intelligence-
based model for rotating detonation 
engine designs","National Energy Technology 
Laboratory","An artificial intelligence-based model will be used to develop low-loss 
rotating detonation engine (RDE) designs for use in power generation 
using natural gas/syngas mixtures. The model formulation will enable full-
scale RDE calculations over 100-1000 detonation cycles.",,Artificial Intelligence Unknown
"To develop and create an 
autonomous robotic inspection 
system.","National Energy Technology 
Laboratory","The goal of the project is to prevent negative environmental and 
socioeconomic impacts of coal waste (coal ash and tailings) by 
developing an aerial robot-enabled inspection and monitoring system of 
active and abandoned coal ash and tailings storage facilities. The first 
objective of this project is the development of a programmable drone, 
equipped with several complementary sensors, that will autonomously 
inspect several structures of a storage facility. The second objective of 
this project is to create artificial intelligence-based hazard detection 
algorithms that will use multispectral and georeferenced images (i.e., 
thermal and visual) and 3D Point Clouds data collected by an 
autonomous drone to detect hazards in the storage facility structure that 
would indicate uncontrolled leakage to the environment or lead to the 
potential failure of the structure.",,"Artificial 
Intelligence, 
Robotic Processing 
Automation (RPA)"
"To develop and demonstrate drone-
based geophysical and remote-
sensing technologies to quantify 
critical minerals (CM).","National Energy Technology 
Laboratory","To develop and demonstrate drone-based geophysical and remote-
sensing technologies to quantify critical minerals (CM) in coal, coal 
related, unconventional and secondary sources or energy related waste 
streams. Drone-based geophysical surveys and remote sensing 
combined with artificial intelligence/machine learning (AI/ML) analytics 
for real-time integration and analytics has potential to transform 
characterization and monitoring for CM from conventional and 
secondary resources.",,"Artificial 
Intelligence, 
Robotic Processing 
Automation (RPA)"
"To develop and evaluate a general 
drag model for gas-solid flows via 
physics-informed deep machine 
learning","National Energy Technology 
Laboratory","The project will evaluate the performance of several ANN algorithms for 
machine learning, pertinent to the deep neural network (DNN) 
algorithms. The DNN candidates will include random forest (RF), BPNN, 
XGBoost, and other supervised deep neural network algorithms. The 
best DNN algorithm will be identified by ranking of these algorithms’ 
performance. The Recipient will integrate the deep learning ANN model 
(DNN model) into the multiphase flow simulation software MFiX-DEM, 
which is part of the NETL’s open source CFD suite of software MFiX. 
The DNN based drag model developed on TensorFlow will be 
implemented using NETL’s existing software links between MFiX and 
TensorFlow.",,"Artificial 
Intelligence, Neural 
Networks"
"To develop and validate sensor 
hardware and analytical algorithms 
to lower plant operating expenses 
for the pulverized coal utility boiler 
fleet","National Energy Technology 
Laboratory","The objective is to develop and validate sensor hardware and analytical 
algorithms to lower plant operating expenses for the pulverized coal 
utility boiler fleet. The focus is on relatively inexpensive new “Internet of 
Things” technologies to minimize capital investment. Three technologies 
will be explored for demonstration and full-scale testing in a coal-fired 
power plant. The first focuses on gas and steam temperature control 
issues at low load. The second uses sensors and analytic algorithms for 
monitoring coal pulverizer operation at lower loads to reduce the 
minimum firing capability of coal burners. The third investigates new 
sensors and advanced controls to better balance air and fuel at each 
burner enabling reduction in the minimum firing capability of coal 
burners.",,
"To develop artificial intelligence-
enabled tools (ArtIT) for cyber 
hardening of power grids.","National Energy Technology 
Laboratory","To develop a novel resiliency framework for power grids by integrating 
different theories, such as closed-loop controls, security, agility, formal 
reasoning and synthesis, machine learning, and laboratory setup 
demonstration. The framework will provide enhanced resiliency to wide-
area control operations in cyberattacks.",,Artificial Intelligence Unknown
"To develop drag models for non-
spherical particles through machine 
learning","National Energy Technology 
Laboratory","Produce comprehensive experimental and numerical datasets for gas-
solid flows in well-controlled settings to understand the aerodynamic 
drag of non-spherical particles in the dense regime. The datasets and 
the gained knowledge will train deep neural networks to formulate a 
general drag model for use directly in NETL MFiX-DEM module. This will 
help to advance the accuracy and prediction fidelity of the computational 
tools that will be used in designing and optimizing fluidized beds and 
chemical looping reactors",,"Artificial 
Intelligence, Neural 
Networks"
"To develop high fidelity tools which 
run in near real time not only help in 
the field to guide and optimize 
complex operations but can be used 
as digital twins","National Energy Technology 
Laboratory","To develop high fidelity tools which run in near real time not only help in 
the field to guide and optimize complex operations but can be used as 
digital twins for cyber security and cyber-physical modeling.",,Big Data
"To develop innovative biomonitoring 
and remediation of heavy metals 
using phytotechnologies.","National Energy Technology 
Laboratory","The objective of the work is to utilize algal- and cyanobacterial-based 
phycotechnologies to address pervasive heavy metal contamination 
from coal combustion product (CCP) impoundments at the Savannah 
River Site. Novel bioindicators will be developed to gauge the potential 
for phytoremediation to restore legacy impoundment sites.",,Artificial Intelligence Unknown
"To develop low cost conversion of 
coal to graphene","National Energy Technology 
Laboratory","Demonstrate the techno-economical feasibility of a 250 ton/day 
manufacturing facility to convert coal to high-quality graphene. The core 
technology is based on flash joule heating (FJH) to convert various 
coals to graphene. Machine learning algorithms will map out the 
correlation of processing parameters with the final product (graphene 
yield, quality, dimensions).",,"Natural Language 
Processing, Neural 
Networks"
"To drive insights into solid oxide cell 
performance and degradation 
through big data analysis and 
computer vision","National Energy Technology 
Laboratory","The team uses deep learning models to analyze large banks of high-
dimensional simulation results, determine the most impactful input 
parameters, produce tailored recommendations for industrial 
manufacturers, and ultimately generate a reduced-order model for 
predicting long-term performance of solid oxide cells. The team is also 
developing computer vision models to extract critical high-resolution 
information from easily obtained low-resolution or 2D microstructural 
data, and also using computer vision to super-resolve that low-resolution 
data, producing full sets of high-resolution 3D data from low-resolution 
3D tomography or even from 2D micrographs. The team has recently 
developed and published a generative adversarial network model for 
generating high-fidelity synthetic microstructural data of solid oxide cells. 
Machine learning is also used in the team's reduced order phase field 
simulations of microstructural changes.",,"Big Data, 
Hierarchical 
Generative Model, 
Neural Networks, 
Other"
"To drive insights into solid oxide cell 
performance and degradation 
through big data analysis and 
computer vision","National Energy Technology 
Laboratory","The team uses deep learning models to analyze large banks of high-
dimensional simulation results, determine the most impactful input 
parameters, produce tailored recommendations for industrial 
manufacturers, and ultimately generate a reduced-order model for 
predicting long-term performance of solid oxide cells. The team is also 
developing computer vision models to extract critical high-resolution 
information from easily obtained low-resolution or 2D microstructural 
data, and also using computer vision to super-resolve that low-resolution 
data, producing full sets of high-resolution 3D data from low-resolution 
3D tomography or even from 2D micrographs. The team has recently 
developed and published a generative adversarial network model for 
generating high-fidelity synthetic microstructural data of solid oxide cells. 
Machine learning is also used in the team's reduced order phase field 
simulations of microstructural changes.",,"Neural Networks, 
Spatio-temporal 
Graph Neural 
Networks, Other"
"To drive insights on  emissions from 
natural gas production, storage, and 
transmission  to determine how best 
to reduce emissions","National Energy Technology 
Laboratory","AI/ML will be used to recognice patterns in well integrity records that 
could predict failure events",,"Big Data, Other"
"To drive insights on environmental 
performance of the natural gas 
system to inform effective mitigation 
strategies","National Energy Technology 
Laboratory","Life Cycle Analysis models will be used to define and estimate 
environmental parameters/performance",,"Big Data, Other"
"To drive insights on pipeline 
maintenance and repair strategies to 
reduce incidents of pipeline leakage; 
support evaluation of use and reuse 
strategies","National Energy Technology 
Laboratory","ML will be used to develop a pipeline risk assessment geospatial model 
and support evaluation of use and reuse opportunities.",,"Big Data, Other"
"To drive insights on water recovery 
from cooling tower plumes","National Energy Technology 
Laboratory","Study of plume formation and collection on mechanical (induced) draft 
cooling towers, partly in a high-fidelity controlled environment and partly 
on a full-scale industrial cooling tower. It will start by building the needed 
laboratory setup and installing various sensors on the lab cooling tower. 
At the same time a computational fluid dynamics (CFD) model will be 
implemented to get precise full-scale plume models. Using the insights 
into power-plant plume characteristics the project will iterate on and 
experimentally test electrodes and collectors, which make up modular 
panels, on the lab cooling tower. What has been learned from the full-
scale plume modeling and sensor data analysis will then be applied to 
develop a design model to build the optimal collection apparatus for 
given working conditions",,
"To drive insights through data-driven 
predictive modeling to forecast the 
remaining lifespan and future risk of 
offshore production platforms.","National Energy Technology 
Laboratory","An Artificial Neural Network and Gradient Boosted Regression Tree 
were developed and applied to predict the remaining lifespan of 
production platforms. These big data-driven models resulted in 
predictions with scored accuracies of 95–97%.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks, Other"
"To drive insights using machine 
learning-based dynamics, control, 
and health models and tools 
developed by NETL to gain valuable 
operational data, insights, and","National Energy Technology 
Laboratory","ML will be used to develop dynamics, controls, and health models for 
operating power generation facilities",,Other
"To employ machine learning to study 
the dependence of electrochemical 
performance on microstructural 
details","National Energy Technology 
Laboratory","With a significant number of images. The Recipient will build deep 
learning methods at the object detection stage using the Region Based 
Convolutional Neural Network (RCNN) or You Only Look Once (YOLO) 
class of algorithms, the heart of which is a deep learning image 
classifier. Deep learning algorithms will also be built using convolutional 
layers followed by residual layers to extract feature vector descriptors in 
the second stage. In the third and fourth stages of affinity and 
association, a recurrent neural network approach can be used to build a 
tracker. All of these approaches require a large training set that will 
enable sophisticated models to be built to handle the complexity of the 
application.
With a limited number of images. In the case that there is are a limited 
number of images, the Recipient will still be able to follow the processing 
pipeline. The recipient will determine a suitable approach, with 
concurrence from the project manager. Two potential approaches 
include:
• Transfer learning: training the image classifier in the object detector on 
images of similar quality and appearance, and 
• Match filtering: detection, feature extraction, and matching based on 
traditional image processing and computer vision techniques.",,"Artificial 
Intelligence, Neural 
Networks"
